Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequen
$0.5200	2015-07-21	2015-08-06	2015-08-10	2015-08-13	Yes	Regular	Quarter
$0.5200	2015-04-27	2015-05-07	2015-05-11	2015-05-14	Yes	Regular	Quarter
$0.4700	2015-01-27	2015-02-05	2015-02-09	2015-02-12	Yes	Regular	Quarter
$0.4700	2014-10-20	2014-11-06	2014-11-10	2014-11-13	Yes	Regular	Quarter
$0.4700	2014-07-22	2014-08-07	2014-08-11	2014-08-14	Yes	Regular	Quarter
7-for-1	2014-04-23	2014-06-09	2014-06-02	2014-06-06	NM	Stock Split	NM
$0.4700	2014-04-23	2014-05-08	2014-05-12	2014-05-15	Yes	Regular	Quarter
$0.4357	2014-01-27	2014-02-06	2014-02-10	2014-02-13	Yes	Regular	Quarter
$0.4357	2013-10-28	2013-11-06	2013-11-11	2013-11-14	Yes	Regular	Quarter
$0.4357	2013-07-23	2013-08-08	2013-08-12	2013-08-15	Yes	Regular	Quarter
$0.4357	2013-04-23	2013-05-09	2013-05-13	2013-05-16	Yes	Regular	Quarter
$0.3786	2013-01-23	2013-02-07	2013-02-11	2013-02-14	Yes	Regular	Quarter
$0.3786	2012-10-25	2012-11-07	2012-11-12	2012-11-15	Yes	Regular	Quarter
$0.0946	2012-07-24	2012-08-09	2012-08-13	2012-08-16	Yes	Regular	Quarter
2-for-1	2005-02-11	2005-02-28	2005-02-18	2005-02-28	NM	Stock Split	NM
2-for-1	2000-04-19	2000-06-21	2000-05-19	2000-06-20	NM	Stock Split	NM
$0.0043	1995-10-09	1995-11-21	1995-11-24	1995-12-15	Unknown	Regular	Quarter
$0.0043	1995-07-20	1995-08-16	1995-08-18	1995-09-08	Unknown	Regular	Quarter
$0.0043	1995-05-02	1995-05-26	1995-06-02	1995-06-23	Unknown	Regular	Quarter
$0.0043	1995-01-25	1995-02-13	1995-02-17	1995-03-10	Unknown	Regular	Quarter
$0.0043	1994-11-03	1994-11-18	1994-11-25	1994-12-16	Unknown	Regular	Quarter
$0.0043	1994-07-20	1994-08-15	1994-08-19	1994-09-09	Unknown	Regular	Quarter
$0.0043	1994-04-20	1994-05-27	1994-06-03	1994-06-24	Unknown	Regular	Quarter
$0.0043	1994-01-27	1994-02-07	1994-02-11	1994-03-04	Unknown	Regular	Quarter
$0.0043	1993-10-14	1993-11-19	1993-11-26	1993-12-17	Unknown	Regular	Quarter
$0.0043	1993-08-06	1993-08-16	1993-08-20	1993-09-10	Unknown	Regular	Quarter
$0.0043	1993-05-20	1993-05-28	1993-06-04	1993-06-25	Unknown	Regular	Quarter
$0.0043	1993-01-28	1993-02-12	1993-02-19	1993-03-12	Unknown	Regular	Quarter
