Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.9600	2015-07-28	2015-08-10	2015-08-12	2015-08-19	Unknown	Regular	Quarter
$0.9375	2015-04-28	2015-05-11	2015-05-13	2015-05-20	Unknown	Regular	Quarter
$0.9150	2015-01-28	2015-02-10	2015-02-12	2015-02-19	Unknown	Regular	Quarter
$0.8925	2014-10-27	2014-11-07	2014-11-12	2014-11-19	Unknown	Regular	Quarter
$0.8700	2014-07-28	2014-08-08	2014-08-12	2014-08-19	Unknown	Regular	Quarter
$0.8475	2014-04-28	2014-05-09	2014-05-13	2014-05-20	Unknown	Regular	Quarter
$0.8275	2014-01-28	2014-02-10	2014-02-12	2014-02-19	Unknown	Regular	Quarter
$0.8075	2013-10-28	2013-11-07	2013-11-12	2013-11-19	Unknown	Regular	Quarter
$0.7850	2013-07-26	2013-08-08	2013-08-12	2013-08-19	Unknown	Regular	Quarter
$0.7625	2013-04-26	2013-05-09	2013-05-13	2013-05-20	Unknown	Regular	Quarter
$0.7400	2013-01-29	2013-02-08	2013-02-12	2013-02-19	Unknown	Regular	Quarter
$0.7200	2012-10-26	2012-11-07	2012-11-12	2012-11-19	Unknown	Regular	Quarter
$0.6975	2012-07-27	2012-08-08	2012-08-10	2012-08-17	Unknown	Regular	Quarter
$0.6675	2012-04-30	2012-05-09	2012-05-11	2012-05-18	Unknown	Regular	Quarter
$0.6375	2012-01-27	2012-02-08	2012-02-10	2012-02-17	Non-Qualified	Regular	Quarter
$0.6100	2011-10-28	2011-11-08	2011-11-11	2011-11-18	Non-Qualified	Regular	Quarter
$0.5825	2011-07-27	2011-08-10	2011-08-12	2011-08-19	Non-Qualified	Regular	Quarter
$0.5550	2011-04-26	2011-05-11	2011-05-13	2011-05-20	Non-Qualified	Regular	Quarter
$0.5275	2011-01-28	2011-02-09	2011-02-11	2011-02-18	Non-Qualified	Regular	Quarter
$0.5000	2010-10-27	2010-11-09	2010-11-12	2010-11-19	Non-Qualified	Regular	Quarter
$0.4825	2010-07-26	2010-08-10	2010-08-12	2010-08-19	Non-Qualified	Regular	Quarter
$0.4650	2010-04-26	2010-05-11	2010-05-13	2010-05-20	Non-Qualified	Regular	Quarter
$0.4525	2010-01-27	2010-02-10	2010-02-12	2010-02-19	Non-Qualified	Regular	Quarter
$0.4400	2009-10-28	2009-11-09	2009-11-12	2009-11-19	Non-Qualified	Regular	Quarter
$0.4275	2009-07-28	2009-08-10	2009-08-12	2009-08-19	Non-Qualified	Regular	Quarter
$0.4150	2009-04-27	2009-05-11	2009-05-13	2009-05-20	Non-Qualified	Regular	Quarter
$0.4025	2009-01-28	2009-02-10	2009-02-12	2009-02-19	Non-Qualified	Regular	Quarter
$0.3900	2008-10-27	2008-11-07	2008-11-12	2008-11-19	Non-Qualified	Regular	Quarter
$0.3525	2008-07-28	2008-08-08	2008-08-12	2008-08-19	Non-Qualified	Regular	Quarter
$0.2875	2008-04-28	2008-05-09	2008-05-13	2008-05-20	Non-Qualified	Regular	Quarter
$0.2875	2008-01-24	2008-02-08	2008-02-12	2008-02-19	Non-Qualified	Regular	Quarter
$0.2650	2007-10-29	2007-11-07	2007-11-12	2007-11-19	Non-Qualified	Regular	Quarter
$0.2650	2007-07-30	2007-08-08	2007-08-10	2007-08-17	Non-Qualified	Regular	Quarter
$0.2500	2007-04-30	2007-05-09	2007-05-11	2007-05-18	Non-Qualified	Regular	Quarter
$0.2500	2007-01-29	2007-02-07	2007-02-09	2007-02-16	Non-Qualified	Regular	Quarter
$0.2150	2006-10-26	2006-11-07	2006-11-09	2006-11-17	Non-Qualified	Regular	Quarter
$0.1229	2006-07-31	2006-08-09	2006-08-11	2006-08-18	Non-Qualified	Regular	Quarter
