Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.7400	2015-07-16	2015-07-23	2015-07-27	2015-09-01	Yes	Regular	Quarter
$0.7300	2015-05-12	2015-05-20	2015-05-22	2015-06-01	Yes	Regular	Quarter
$0.7300	2015-02-04	2015-02-12	2015-02-17	2015-03-02	Yes	Regular	Quarter
$0.7300	2014-10-01	2014-10-09	2014-10-14	2014-12-01	Yes	Regular	Quarter
$0.7300	2014-07-10	2014-07-17	2014-07-21	2014-09-02	Yes	Regular	Quarter
$0.6900	2014-05-13	2014-05-21	2014-05-23	2014-06-02	Yes	Regular	Quarter
$0.6900	2014-02-05	2014-02-13	2014-02-18	2014-03-03	Yes	Regular	Quarter
$0.6900	2013-10-04	2013-10-10	2013-10-15	2013-12-02	Yes	Regular	Quarter
$0.6900	2013-07-11	2013-07-18	2013-07-22	2013-09-03	Yes	Regular	Quarter
$0.6600	2013-05-14	2013-05-22	2013-05-24	2013-06-03	Yes	Regular	Quarter
$0.6600	2013-02-06	2013-02-14	2013-02-19	2013-03-01	Yes	Regular	Quarter
$0.6600	2012-10-04	2012-10-11	2012-10-15	2012-12-03	Yes	Regular	Quarter
$0.6600	2012-07-10	2012-07-19	2012-07-23	2012-09-04	Yes	Regular	Quarter
$0.6600	2012-05-09	2012-05-17	2012-05-21	2012-06-01	Yes	Regular	Quarter
$0.6600	2012-02-10	2012-02-16	2012-02-21	2012-03-01	Yes	Regular	Quarter
$0.6600	2011-10-05	2011-10-13	2011-10-17	2011-12-01	Yes	Regular	Quarter
$0.6600	2011-07-13	2011-07-21	2011-07-25	2011-09-01	Yes	Regular	Quarter
$0.6600	2011-05-11	2011-05-19	2011-05-23	2011-06-01	Yes	Regular	Quarter
$0.6600	2011-02-11	2011-02-17	2011-02-22	2011-03-01	Yes	Regular	Quarter
$0.5500	2010-10-06	2010-10-27	2010-10-29	2010-12-01	Yes	Regular	Quarter
$0.5500	2010-07-14	2010-07-29	2010-08-02	2010-09-01	Yes	Regular	Quarter
$0.5500	2010-03-24	2010-05-20	2010-05-24	2010-06-01	Yes	Regular	Quarter
$0.5000	2010-02-12	2010-02-18	2010-02-22	2010-03-01	Yes	Regular	Quarter
$0.5000	2009-10-07	2009-10-28	2009-10-30	2009-12-01	Yes	Regular	Quarter
$0.4700	2009-07-15	2009-07-29	2009-07-31	2009-09-01	Yes	Regular	Quarter
$0.4700	2009-05-13	2009-05-21	2009-05-26	2009-06-01	Yes	Regular	Quarter
$0.4700	2009-02-13	2009-02-19	2009-02-23	2009-03-02	Yes	Regular	Quarter
$0.4700	2008-10-01	2008-10-29	2008-10-31	2008-12-01	Yes	Regular	Quarter
$0.4700	2008-07-09	2008-07-29	2008-07-31	2008-09-02	Yes	Regular	Quarter
$0.4700	2008-05-14	2008-05-22	2008-05-27	2008-06-02	Yes	Regular	Quarter
$0.4700	2008-02-15	2008-02-21	2008-02-25	2008-03-03	Yes	Regular	Quarter
$0.4100	2007-10-10	2007-10-29	2007-10-31	2007-12-03	Yes	Regular	Quarter
$0.4100	2007-07-09	2007-07-27	2007-07-31	2007-09-04	Yes	Regular	Quarter
$0.4100	2007-05-09	2007-05-17	2007-05-21	2007-06-01	Yes	Regular	Quarter
$0.4100	2007-02-09	2007-02-15	2007-02-20	2007-03-01	Yes	Regular	Quarter
$0.3600	2006-10-04	2006-10-27	2006-10-31	2006-12-01	Yes	Regular	Quarter
$0.3600	2006-07-12	2006-07-27	2006-07-31	2006-09-01	Yes	Regular	Quarter
$0.3600	2006-05-10	2006-05-18	2006-05-22	2006-06-01	Yes	Regular	Quarter
$0.3600	2006-02-10	2006-02-16	2006-02-21	2006-03-01	Yes	Regular	Quarter
$0.3100	2005-09-01	2005-10-27	2005-10-31	2005-12-01	Yes	Regular	Quarter
$0.3100	2005-07-12	2005-07-27	2005-07-31	2005-09-01	Yes	Regular	Quarter
2-for-1	2005-04-07	2005-06-02	2005-05-16	2005-06-01	NM	Stock Split	NM
$0.3100	2005-04-07	2005-05-12	2005-05-16	2005-06-01	Yes	Regular	Quarter
$0.2500	2005-02-04	2005-02-11	2005-02-15	2005-03-01	Yes	Regular	Quarter
$0.2500	2004-09-22	2004-10-27	2004-10-29	2004-12-01	Yes	Regular	Quarter
$0.2150	2004-07-15	2004-07-28	2004-07-31	2004-09-01	Yes	Regular	Quarter
$0.2150	2004-05-05	2004-05-13	2004-05-17	2004-06-01	Yes	Regular	Quarter
$0.2150	2004-02-09	2004-02-18	2004-02-20	2004-03-01	Yes	Regular	Quarter
$0.2150	2003-10-07	2003-10-29	2003-10-31	2003-12-01	Yes	Regular	Quarter
$0.2000	2003-07-01	2003-07-29	2003-07-31	2003-09-02	Yes	Regular	Quarter
$0.2000	2003-04-01	2003-04-28	2003-04-30	2003-06-02	Yes	Regular	Quarter
$0.2000	2003-02-10	2003-02-18	2003-02-20	2003-03-03	Yes	Regular	Quarter
$0.2000	2002-10-22	2002-10-31	2002-11-04	2002-12-02	Unknown	Regular	Quarter
$0.1800	2002-07-29	2002-08-07	2002-08-09	2002-09-03	Unknown	Regular	Quarter
$0.1800	2002-04-08	2002-04-26	2002-04-30	2002-05-31	Unknown	Regular	Quarter
$0.1800	2002-02-11	2002-02-19	2002-02-21	2002-03-01	Unknown	Regular	Quarter
$0.1800	2001-10-08	2001-10-29	2001-10-31	2001-12-03	Unknown	Regular	Quarter
$0.1800	2001-07-09	2001-07-26	2001-07-30	2001-09-04	Unknown	Regular	Quarter
$0.1700	2001-04-09	2001-04-26	2001-04-30	2001-06-01	Unknown	Regular	Quarter
$0.1700	2001-02-12	2001-02-16	2001-02-21	2001-03-01	Unknown	Regular	Quarter
$0.1700	2000-10-09	2000-10-26	2000-10-30	2000-12-01	Unknown	Regular	Quarter
$0.1700	2000-07-10	2000-07-27	2000-07-31	2000-09-01	Unknown	Regular	Quarter
$0.1700	2000-04-10	2000-04-27	2000-05-01	2000-06-01	Unknown	Regular	Quarter
$0.1700	2000-02-14	2000-02-16	2000-02-18	2000-03-06	Unknown	Regular	Quarter
$0.1700	1999-10-11	1999-10-28	1999-11-01	1999-12-01	Unknown	Regular	Quarter
$0.1700	1999-07-26	1999-07-29	1999-08-02	1999-09-01	Unknown	Regular	Quarter
$0.1700	1999-04-12	1999-04-29	1999-05-03	1999-06-01	Unknown	Regular	Quarter
$0.1700	1999-02-08	1999-02-10	1999-02-15	1999-03-01	Unknown	Regular	Quarter
