Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.6500	2015-07-16	2015-08-17	2015-08-19	2015-09-15	Yes	Regular	Quarter
$0.6500	2015-04-16	2015-05-18	2015-05-20	2015-06-15	Yes	Regular	Quarter
$0.6500	2015-01-15	2015-02-13	2015-02-18	2015-03-15	Yes	Regular	Quarter
$0.6300	2014-10-16	2014-11-07	2014-11-12	2014-12-15	Yes	Regular	Quarter
$0.6300	2014-07-17	2014-08-11	2014-08-13	2014-09-15	Yes	Regular	Quarter
$0.6300	2014-04-17	2014-05-12	2014-05-14	2014-06-15	Yes	Regular	Quarter
$0.6300	2014-01-16	2014-02-10	2014-02-12	2014-03-15	Yes	Regular	Quarter
$0.6150	2013-10-17	2013-11-08	2013-11-13	2013-12-15	Yes	Regular	Quarter
$0.6150	2013-07-18	2013-08-12	2013-08-14	2013-09-15	Yes	Regular	Quarter
$0.6150	2013-04-18	2013-05-13	2013-05-15	2013-06-15	Yes	Regular	Quarter
$0.6150	2013-01-31	2013-02-11	2013-02-13	2013-03-15	Yes	Regular	Quarter
$0.6050	2012-10-18	2012-11-09	2012-11-14	2012-12-15	Yes	Regular	Quarter
$0.6050	2012-07-30	2012-08-13	2012-08-15	2012-09-15	Yes	Regular	Quarter
$0.6050	2012-04-19	2012-05-14	2012-05-16	2012-06-15	Yes	Regular	Quarter
$0.6050	2012-01-19	2012-02-13	2012-02-15	2012-03-15	Yes	Regular	Quarter
$0.6000	2011-10-20	2011-11-14	2011-11-16	2011-12-15	Yes	Regular	Quarter
$0.6000	2011-07-21	2011-08-15	2011-08-17	2011-09-15	Yes	Regular	Quarter
$0.6000	2011-04-21	2011-05-16	2011-05-18	2011-06-15	Yes	Regular	Quarter
$0.6000	2011-01-20	2011-02-14	2011-02-16	2011-03-15	Yes	Regular	Quarter
$0.5950	2010-10-20	2010-11-15	2010-11-17	2010-12-15	Yes	Regular	Quarter
$0.5950	2010-07-15	2010-08-16	2010-08-18	2010-09-15	Yes	Regular	Quarter
$0.5950	2010-04-15	2010-05-10	2010-05-12	2010-06-15	Yes	Regular	Quarter
$0.5950	2010-01-21	2010-02-12	2010-02-17	2010-03-15	Yes	Regular	Quarter
$0.5900	2009-10-15	2009-11-16	2009-11-18	2009-12-15	Yes	Regular	Quarter
