Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.4200	2015-07-23	2015-07-30	2015-08-03	2015-08-18	Unknown	Regular	Quarter
$0.4600	2015-04-23	2015-04-30	2015-05-04	2015-05-18	Unknown	Regular	Quarter
$0.3500	2015-02-10	2015-02-18	2015-02-20	2015-03-06	Unknown	Regular	Quarter
$0.4500	2014-10-23	2014-10-30	2014-11-03	2014-11-18	Unknown	Regular	Quarter
$0.6700	2014-07-24	2014-07-31	2014-08-04	2014-08-19	Unknown	Regular	Quarter
$0.4300	2014-04-24	2014-05-07	2014-05-09	2014-05-23	Unknown	Regular	Quarter
$0.4800	2014-02-06	2014-02-13	2014-02-18	2014-03-04	Unknown	Regular	Quarter
$0.2300	2013-10-24	2013-10-31	2013-11-04	2013-11-19	Unknown	Regular	Quarter
$0.4200	2013-07-26	2013-08-01	2013-08-05	2013-08-20	Unknown	Regular	Quarter
$0.2700	2013-04-25	2013-05-02	2013-05-06	2013-05-21	Unknown	Regular	Quarter
$0.7000	2013-02-07	2013-02-14	2013-02-19	2013-03-05	Unknown	Regular	Quarter
$0.2400	2012-10-26	2012-11-01	2012-11-05	2012-11-20	Unknown	Regular	Quarter
$0.1300	2012-07-27	2012-08-02	2012-08-06	2012-08-21	Unknown	Regular	Quarter
$0.1500	2012-04-27	2012-05-03	2012-05-07	2012-05-21	Unknown	Regular	Quarter
$0.3200	2012-02-09	2012-02-16	2012-02-21	2012-03-06	Non-Qualified	Regular	Quarter
$0.1000	2011-11-04	2011-11-09	2011-11-14	2011-11-29	Non-Qualified	Regular	Quarter
$0.1100	2011-08-03	2011-08-11	2011-08-15	2011-08-30	Non-Qualified	Regular	Quarter
$0.2100	2011-05-04	2011-05-12	2011-05-16	2011-05-27	Non-Qualified	Regular	Quarter
$0.2900	2011-02-23	2011-03-03	2011-03-07	2011-03-21	Non-Qualified	Regular	Quarter
$0.1500	2010-11-03	2010-11-09	2010-11-12	2010-11-26	Non-Qualified	Regular	Quarter
$0.0800	2010-08-09	2010-08-20	2010-08-24	2010-09-08	Non-Qualified	Regular	Quarter
