Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,31.040001,31.209999,30.66,31.09,13704800,31.09
2015-09-04,30.780001,31.030001,30.60,30.77,12081800,30.77
2015-09-03,31.469999,31.790001,30.91,31.08,12110800,31.08
2015-09-02,31.77,31.77,30.75,31.309999,13748600,31.309999
2015-09-01,31.82,32.09,31.07,31.389999,16486500,31.389999
2015-08-31,32.439999,32.830002,31.73,32.41,18979300,32.41
2015-08-28,32.00,33.07,32.00,32.630001,16667000,32.630001
2015-08-27,31.379999,32.169998,31.10,32.00,18633100,32.00
2015-08-26,30.27,30.91,29.860001,30.790001,16822300,30.790001
2015-08-25,31.50,31.540001,29.93,29.93,17909500,29.93
2015-08-24,29.549999,31.450001,28.50,30.280001,21569200,30.280001
2015-08-21,32.50,32.75,31.790001,31.790001,17580800,31.790001
2015-08-20,33.349998,33.490002,32.689999,32.689999,13763600,32.689999
2015-08-19,33.810001,33.98,33.169998,33.580002,13113100,33.580002
2015-08-18,34.43,34.439999,33.709999,33.939999,11510200,33.939999
2015-08-17,34.009998,34.810001,33.959999,34.360001,15870900,34.360001
2015-08-14,34.259998,34.299999,33.849998,33.959999,17756100,33.959999
2015-08-13,33.810001,33.869999,32.970001,33.139999,11408000,33.139999
2015-08-12,32.59,34.060001,32.59,33.849998,20997300,33.849998
2015-08-11,32.279999,32.950001,32.060001,32.889999,15550500,32.889999
2015-08-10,32.23,32.619999,32.150002,32.50,16610900,32.50
2015-08-07,32.529999,32.82,32.060001,32.139999,13346200,32.139999
2015-08-06,32.009998,32.740002,31.09,32.689999,24389900,32.689999
2015-08-05,33.779999,34.09,32.189999,32.240002,25141200,32.240002
2015-08-04,33.889999,34.02,33.450001,33.66,12619300,33.66
2015-08-03,34.349998,34.380001,33.709999,33.75,19066500,33.75
2015-07-31,34.869999,35.150002,34.57,34.639999,14217900,34.639999
2015-07-30,35.27,35.389999,34.889999,35.029999,12778500,35.029999
2015-07-29,34.900002,35.279999,34.59,35.240002,19895300,35.240002
2015-07-28,35.509998,35.919998,35.130001,35.57,17220800,35.08
2015-07-27,34.650002,35.41,34.119999,35.220001,18827700,34.734823
2015-07-24,34.970001,35.259998,34.759998,34.849998,13054300,34.369917
2015-07-23,35.310001,35.50,34.650002,34.950001,16307000,34.468542
2015-07-22,35.720001,35.830002,35.25,35.360001,15381000,34.872894
2015-07-21,36.240002,36.240002,35.560001,35.84,17693100,35.346281
2015-07-20,36.880001,36.889999,36.25,36.299999,12922700,35.799943
2015-07-17,37.209999,37.25,36.450001,36.889999,13944500,36.381816
2015-07-16,37.84,38.02,37.240002,37.400002,13587600,36.884792
2015-07-15,37.900002,38.220001,37.48,37.580002,10426800,37.062313
2015-07-14,37.869999,38.389999,37.799999,38.02,10260600,37.49625
2015-07-13,38.279999,38.580002,38.040001,38.189999,10243200,37.663907
2015-07-10,37.650002,38.169998,37.610001,38.09,8792400,37.565286
