Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.4900	2015-07-15	2015-07-29	2015-07-31	2015-08-14	Non-Qualified	Regular	Quarter
$0.4800	2015-04-15	2015-04-28	2015-04-30	2015-05-15	Non-Qualified	Regular	Quarter
$0.4500	2015-01-21	2015-01-29	2015-02-02	2015-02-17	Non-Qualified	Regular	Quarter
$0.4400	2014-10-15	2014-10-29	2014-10-31	2014-11-17	Non-Qualified	Regular	Quarter
$0.4300	2014-07-16	2014-07-29	2014-07-31	2014-08-15	Non-Qualified	Regular	Quarter
$0.4200	2014-04-16	2014-04-28	2014-04-30	2014-05-16	Non-Qualified	Regular	Quarter
$0.4100	2014-01-15	2014-01-29	2014-01-31	2014-02-18	Non-Qualified	Regular	Quarter
$0.4100	2013-10-16	2013-10-29	2013-10-31	2013-11-15	Non-Qualified	Regular	Quarter
$0.4000	2013-07-17	2013-07-29	2013-07-31	2013-08-15	Non-Qualified	Regular	Quarter
$0.3800	2013-04-17	2013-04-25	2013-04-29	2013-05-16	Non-Qualified	Regular	Quarter
$0.3700	2013-01-16	2013-01-29	2013-01-31	2013-02-15	Non-Qualified	Regular	Quarter
$0.3600	2012-10-17	2012-10-29	2012-10-31	2012-11-15	Non-Qualified	Regular	Quarter
$0.3500	2012-07-18	2012-07-27	2012-07-31	2012-08-15	Non-Qualified	Regular	Quarter
$0.3200	2012-04-18	2012-04-26	2012-04-30	2012-05-16	Non-Qualified	Regular	Quarter
$0.3100	2012-01-18	2012-01-27	2012-01-31	2012-02-15	Non-Qualified	Regular	Quarter
$0.3000	2011-10-19	2011-10-27	2011-10-31	2011-11-15	Non-Qualified	Regular	Quarter
$0.3000	2011-07-20	2011-07-28	2011-08-01	2011-08-15	Non-Qualified	Regular	Quarter
$0.1400	2011-04-20	2011-04-28	2011-05-02	2011-05-16	Non-Qualified	Regular	Quarter
$0.8750	2007-04-18	2007-04-26	2007-04-30	2007-05-15	Yes	Regular	Quarter
$0.8750	2007-01-17	2007-01-29	2007-01-31	2007-02-14	Yes	Regular	Quarter
$0.8750	2006-10-18	2006-10-27	2006-10-31	2006-11-14	Yes	Regular	Quarter
$0.8750	2006-07-19	2006-07-27	2006-07-31	2006-08-14	Yes	Regular	Quarter
$0.8750	2006-04-19	2006-04-26	2006-04-28	2006-05-15	Yes	Regular	Quarter
$0.8750	2006-01-18	2006-01-27	2006-01-31	2006-02-14	Yes	Regular	Quarter
$0.7500	2005-10-19	2005-10-27	2005-10-31	2005-11-14	Yes	Regular	Quarter
$0.7500	2005-07-20	2005-07-27	2005-07-29	2005-08-12	Yes	Regular	Quarter
$0.7000	2005-04-21	2005-04-27	2005-04-29	2005-05-13	Yes	Regular	Quarter
$0.7000	2005-01-18	2005-01-27	2005-01-31	2005-02-14	Yes	Regular	Quarter
