Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,38.869999,39.029999,38.599998,38.900002,15009600,38.900002
2015-09-04,38.68,38.790001,38.380001,38.52,15387600,38.52
2015-09-03,38.900002,39.34,38.84,39.16,13250700,39.16
2015-09-02,39.029999,39.07,38.560001,38.900002,14033200,38.900002
2015-09-01,38.669998,39.029999,38.540001,38.75,23703200,38.75
2015-08-31,39.150002,39.450001,39.060001,39.32,12673300,39.32
2015-08-28,39.110001,39.470001,39.049999,39.450001,14503900,39.450001
2015-08-27,39.060001,39.380001,38.599998,39.27,18871600,39.27
2015-08-26,38.75,38.830002,37.889999,38.73,23221800,38.73
2015-08-25,39.130001,39.279999,37.93,37.990002,30719900,37.990002
2015-08-24,37.990002,38.939999,36.560001,38.380001,43512900,38.380001
2015-08-21,40.16,40.470001,39.509998,39.529999,27193500,39.529999
2015-08-20,40.52,40.82,40.419998,40.549999,14201900,40.549999
2015-08-19,41.139999,41.240002,40.779999,40.779999,15704800,40.779999
2015-08-18,41.279999,41.529999,41.189999,41.299999,11189000,41.299999
2015-08-17,41.029999,41.450001,40.970001,41.349998,8179100,41.349998
2015-08-14,41.009998,41.25,40.959999,41.25,9904800,41.25
2015-08-13,41.279999,41.380001,41.009998,41.099998,10147700,41.099998
2015-08-12,41.130001,41.259998,40.849998,41.259998,9602200,41.259998
2015-08-11,41.400002,41.57,41.169998,41.48,11073000,41.48
2015-08-10,41.889999,41.990002,41.580002,41.68,8208200,41.68
2015-08-07,41.810001,41.970001,41.529999,41.77,10876800,41.77
2015-08-06,42.00,42.25,41.860001,41.919998,11315800,41.919998
2015-08-05,41.919998,42.220001,41.82,42.119999,15292600,42.119999
2015-08-04,41.509998,41.869999,41.34,41.849998,17363300,41.849998
2015-08-03,40.849998,41.549999,40.84,41.540001,14538400,41.540001
2015-07-31,40.880001,41.220001,40.77,41.080002,15208100,41.080002
2015-07-30,40.549999,40.75,40.389999,40.560001,8821900,40.560001
2015-07-29,40.529999,40.709999,40.490002,40.59,8438400,40.59
2015-07-28,40.650002,40.73,40.439999,40.549999,10669600,40.549999
2015-07-27,40.279999,40.580002,40.16,40.540001,10882200,40.540001
2015-07-24,40.759998,40.830002,40.41,40.439999,10904900,40.439999
2015-07-23,40.990002,41.02,40.48,40.84,13468300,40.84
2015-07-22,40.810001,41.59,40.59,40.900002,15481800,40.900002
2015-07-21,41.380001,41.52,41.099998,41.189999,13274000,41.189999
2015-07-20,41.349998,41.540001,41.220001,41.380001,9996300,41.380001
2015-07-17,41.310001,41.32,41.049999,41.25,9569600,41.25
2015-07-16,41.419998,41.599998,41.349998,41.48,10457600,41.48
2015-07-15,41.150002,41.360001,41.099998,41.130001,11221300,41.130001
2015-07-14,40.900002,41.259998,40.84,41.169998,19434900,41.169998
2015-07-13,40.560001,40.77,40.490002,40.66,9797400,40.66
2015-07-10,40.27,40.52,40.16,40.389999,13160300,40.389999
