Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,52.959999,53.50,52.650002,53.490002,5592600,53.490002
2015-09-04,53.00,53.080002,52.139999,52.380001,7089600,52.380001
2015-09-03,53.400002,53.93,53.299999,53.59,4894300,53.59
2015-09-02,52.57,53.200001,52.459999,53.130001,6560200,53.130001
2015-09-01,52.720001,52.720001,51.700001,52.029999,8659500,52.029999
2015-08-31,53.970001,54.119999,53.50,53.580002,4950800,53.580002
2015-08-28,53.700001,54.299999,53.639999,54.169998,7417100,54.169998
2015-08-27,53.66,53.98,52.68,53.709999,7566500,53.709999
2015-08-26,53.00,53.299999,51.599998,53.209999,9674200,53.209999
2015-08-25,53.509998,53.830002,51.82,51.82,8965000,51.82
2015-08-24,48.709999,52.139999,47.41,52.139999,16913900,52.139999
2015-08-21,54.220001,54.990002,53.900002,53.939999,10518000,53.939999
2015-08-20,54.34,55.34,54.200001,54.73,6002800,54.73
2015-08-19,55.00,55.279999,54.169998,54.810001,8285100,54.810001
2015-08-18,55.580002,55.68,55.099998,55.200001,4905800,55.200001
2015-08-17,55.50,55.77,55.099998,55.669998,3370200,55.669998
2015-08-14,55.57,55.790001,55.27,55.759998,4075300,55.759998
2015-08-13,55.509998,55.669998,55.119999,55.57,6051500,55.57
2015-08-12,55.310001,55.740002,55.200001,55.740002,5880900,55.740002
2015-08-11,55.43,56.389999,55.240002,55.73,8338000,55.73
2015-08-10,55.700001,55.990002,55.509998,55.709999,4598100,55.709999
2015-08-07,55.50,55.66,55.07,55.490002,5505500,55.490002
2015-08-06,55.650002,55.799999,55.48,55.57,5944100,55.57
2015-08-05,55.130001,55.630001,54.950001,55.470001,6144800,55.470001
2015-08-04,54.549999,55.080002,54.50,54.919998,4840000,54.919998
2015-08-03,54.43,54.68,54.099998,54.66,4000700,54.66
2015-07-31,54.549999,54.59,54.259998,54.380001,4750000,54.380001
2015-07-30,53.73,54.360001,53.50,54.200001,7178000,54.200001
2015-07-29,55.509998,55.720001,54.049999,54.400002,9346900,54.400002
2015-07-28,54.099998,55.299999,54.00,55.25,9099600,55.25
2015-07-27,53.529999,54.130001,53.509998,53.950001,5922200,53.950001
2015-07-24,53.77,53.970001,53.610001,53.790001,5365600,53.790001
2015-07-23,53.950001,53.970001,53.48,53.82,4560300,53.82
2015-07-22,53.66,54.02,53.650002,53.959999,7853300,53.959999
2015-07-21,53.669998,53.700001,53.43,53.549999,5571100,53.549999
2015-07-20,53.240002,53.84,53.23,53.709999,6382900,53.709999
2015-07-17,52.77,53.34,52.52,53.220001,7388200,53.220001
2015-07-16,51.580002,53.360001,51.52,52.91,12332700,52.91
2015-07-15,51.360001,51.52,51.130001,51.23,6834300,51.23
2015-07-14,51.330002,51.459999,51.209999,51.349998,7433200,51.349998
2015-07-13,51.560001,51.799999,51.259998,51.330002,8124400,51.330002
2015-07-10,51.48,51.779999,51.23,51.310001,7263100,51.310001
2015-07-09,51.630001,51.799999,50.93,50.950001,7010000,50.950001
2015-07-08,51.32,51.490002,50.950001,51.029999,8154600,51.029999
2015-07-07,49.970001,51.82,49.939999,51.68,13341000,51.68
2015-07-06,48.880001,49.889999,48.759998,49.869999,7862700,49.869999
2015-07-02,49.279999,49.450001,48.700001,48.990002,4535200,48.990002
2015-07-01,49.09,49.259998,48.740002,49.099998,4862800,49.099998
2015-06-30,48.970001,49.279999,48.57,48.91,8235400,48.91
2015-06-29,49.25,49.509998,48.639999,48.669998,7264600,48.669998
2015-06-26,49.290001,49.669998,49.169998,49.48,7343200,49.48
2015-06-25,49.060001,49.27,48.959999,49.16,5739800,49.16
2015-06-24,49.119999,49.25,48.959999,48.970001,5223800,48.970001
2015-06-23,49.990002,49.990002,49.040001,49.080002,4918000,49.080002
2015-06-22,49.580002,49.880001,49.540001,49.790001,5222300,49.790001
2015-06-19,49.290001,49.639999,49.23,49.32,6800000,49.32
2015-06-18,48.68,49.650002,48.66,49.459999,6427700,49.459999
2015-06-17,48.009998,48.73,47.990002,48.560001,5672400,48.560001
2015-06-16,47.66,48.139999,47.470001,48.02,4539400,48.02
2015-06-15,47.709999,48.119999,47.52,47.540001,6494900,47.540001
2015-06-12,48.259998,48.299999,47.310001,48.040001,8740600,48.040001
2015-06-11,48.700001,48.810001,48.27,48.330002,7135100,48.330002
2015-06-10,48.68,49.639999,48.68,49.220001,10217600,48.700002
2015-06-09,48.349998,48.77,48.119999,48.560001,6326300,48.046974
2015-06-08,48.169998,48.509998,47.779999,48.32,7983800,47.809508
2015-06-05,49.709999,49.709999,48.099998,48.209999,10415100,47.70067
2015-06-04,50.259998,50.389999,49.779999,49.880001,6077400,49.353029
2015-06-03,50.91,50.93,50.25,50.349998,5866300,49.818061
2015-06-02,51.040001,51.07,50.509998,50.630001,4778800,50.095105
2015-06-01,51.290001,51.48,50.849998,51.200001,3842200,50.659083
2015-05-29,51.450001,51.73,51.119999,51.200001,7490800,50.659083
