Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.5650	2015-08-21	2015-09-11	2015-09-15	2015-10-09	Yes	Regular	Quarter
$0.5200	2015-05-20	2015-06-11	2015-06-15	2015-07-10	Yes	Regular	Quarter
$0.5200	2015-02-25	2015-03-12	2015-03-16	2015-04-10	Yes	Regular	Quarter
$0.5200	2014-12-10	2014-12-22	2014-12-24	2015-01-09	Yes	Regular	Quarter
$0.5200	2014-08-21	2014-09-11	2014-09-15	2014-10-10	Yes	Regular	Quarter
$0.4800	2014-05-14	2014-06-12	2014-06-16	2014-07-10	Yes	Regular	Quarter
$0.4800	2014-02-26	2014-03-12	2014-03-14	2014-04-10	Yes	Regular	Quarter
$0.4800	2013-12-11	2013-12-23	2013-12-26	2014-01-10	Yes	Regular	Quarter
$0.4800	2013-08-23	2013-09-12	2013-09-16	2013-10-10	Yes	Regular	Quarter
$0.4400	2013-05-16	2013-06-12	2013-06-14	2013-07-10	Yes	Regular	Quarter
$0.4400	2013-02-27	2013-03-13	2013-03-15	2013-04-10	Yes	Regular	Quarter
$0.4400	2012-12-12	2012-12-21	2012-12-26	2013-01-10	Yes	Regular	Quarter
$0.4400	2012-08-24	2012-09-12	2012-09-14	2012-10-10	Yes	Regular	Quarter
$0.4100	2012-05-17	2012-06-13	2012-06-15	2012-07-10	Yes	Regular	Quarter
$0.4100	2012-03-01	2012-03-13	2012-03-15	2012-04-10	Yes	Regular	Quarter
$0.4100	2011-12-14	2011-12-22	2011-12-27	2012-01-10	Yes	Regular	Quarter
$0.4100	2011-08-26	2011-09-13	2011-09-15	2011-10-11	Yes	Regular	Quarter
$0.3800	2011-05-19	2011-06-13	2011-06-15	2011-07-11	Yes	Regular	Quarter
$0.3800	2011-02-24	2011-03-11	2011-03-15	2011-04-11	Yes	Regular	Quarter
$0.3800	2010-12-15	2010-12-23	2010-12-28	2011-01-10	Yes	Regular	Quarter
$0.3800	2010-08-27	2010-09-13	2010-09-15	2010-10-12	Yes	Regular	Quarter
$0.3500	2010-05-20	2010-06-11	2010-06-15	2010-07-09	Yes	Regular	Quarter
$0.3500	2010-02-24	2010-03-11	2010-03-15	2010-04-09	Yes	Regular	Quarter
$0.3400	2009-12-16	2009-12-28	2009-12-30	2010-01-11	Yes	Regular	Quarter
$0.3400	2009-08-27	2009-09-11	2009-09-15	2009-10-09	Yes	Regular	Quarter
$0.3200	2009-05-20	2009-06-11	2009-06-15	2009-07-10	Yes	Regular	Quarter
$0.3200	2009-02-26	2009-03-12	2009-03-16	2009-04-10	Yes	Regular	Quarter
$0.3200	2008-12-10	2008-12-22	2008-12-24	2009-01-09	Yes	Regular	Quarter
$0.3200	2008-08-28	2008-09-11	2008-09-15	2008-10-10	Yes	Regular	Quarter
$0.2900	2008-05-28	2008-06-11	2008-06-13	2008-07-10	Yes	Regular	Quarter
$0.7500	2008-02-27	2008-03-17	2008-03-19	2008-04-10	Yes	Regular	Quarter
$0.7500	2007-12-12	2007-12-21	2007-12-26	2008-01-10	Yes	Regular	Quarter
$0.7500	2007-08-29	2007-09-12	2007-09-14	2007-10-10	Yes	Regular	Quarter
$0.6900	2007-06-01	2007-06-13	2007-06-15	2007-07-10	Yes	Regular	Quarter
$0.8600	2007-02-28	2007-03-13	2007-03-15	2007-04-10	Yes	Regular	Quarter
$0.8600	2006-12-13	2006-12-22	2006-12-27	2007-01-10	Yes	Regular	Quarter
$0.8600	2006-08-30	2006-09-13	2006-09-15	2006-10-10	Yes	Regular	Quarter
$0.8000	2006-06-02	2006-06-13	2006-06-15	2006-07-10	Yes	Regular	Quarter
$0.8000	2006-02-21	2006-03-13	2006-03-15	2006-04-10	Yes	Regular	Quarter
$0.8000	2005-12-14	2005-12-23	2005-12-28	2006-01-10	Yes	Regular	Quarter
$0.8000	2005-08-31	2005-09-13	2005-09-15	2005-10-11	Yes	Regular	Quarter
