Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,14.27,14.27,14.00,14.02,2806600,14.02
2015-09-04,14.01,14.13,13.90,14.03,918800,14.03
2015-09-03,14.19,14.29,14.07,14.14,1716900,14.14
2015-09-02,14.34,14.35,14.09,14.21,1288900,14.21
2015-09-01,13.96,14.35,13.91,14.24,2638400,14.24
2015-08-31,14.26,14.30,14.04,14.16,2226100,14.16
2015-08-28,14.19,14.62,14.15,14.29,2346700,14.29
2015-08-27,14.21,14.40,13.91,14.23,1758100,14.23
2015-08-26,14.05,14.10,13.79,14.08,2543300,14.08
2015-08-25,14.10,14.18,13.80,13.82,3542900,13.82
2015-08-24,13.69,14.00,13.37,13.89,4761800,13.89
2015-08-21,14.50,14.70,14.16,14.41,3407800,14.41
2015-08-20,14.92,15.19,14.84,14.85,2407400,14.85
2015-08-19,14.84,15.12,14.75,15.07,2515600,15.07
2015-08-18,15.06,15.25,14.79,14.84,1576700,14.84
2015-08-17,14.69,15.10,14.67,15.07,2055300,15.07
2015-08-14,14.52,14.68,14.51,14.68,953400,14.68
2015-08-13,14.57,14.71,14.47,14.54,1168100,14.54
2015-08-12,14.47,14.61,14.15,14.60,2315300,14.60
2015-08-11,14.62,14.67,14.46,14.47,1642200,14.47
2015-08-10,14.75,15.04,14.54,14.66,2480100,14.66
2015-08-07,14.54,14.64,14.40,14.46,3185400,14.46
2015-08-06,15.14,15.15,14.27,14.61,6628400,14.61
2015-08-05,15.56,15.57,14.92,15.22,4506700,15.22
2015-08-04,15.74,15.81,15.47,15.52,2592800,15.52
2015-08-03,15.70,15.81,15.57,15.74,1234200,15.74
2015-07-31,15.83,15.95,15.56,15.69,4962200,15.69
2015-07-30,15.65,15.81,15.52,15.74,1670400,15.74
2015-07-29,15.38,15.71,15.26,15.70,1406000,15.70
2015-07-28,15.34,15.44,15.16,15.38,1197800,15.38
2015-07-27,15.40,15.43,15.25,15.32,1342600,15.32
2015-07-24,15.78,15.80,15.40,15.43,1692900,15.43
2015-07-23,15.86,15.94,15.68,15.76,1637000,15.76
2015-07-22,15.69,15.87,15.67,15.82,937100,15.82
2015-07-21,15.62,15.80,15.57,15.73,2170000,15.73
