Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.5500	2015-07-15	2015-07-29	2015-07-31	2015-08-17	Non-Qualified	Regular	Quarter
$0.1800	2015-04-15	2015-04-28	2015-04-30	2015-05-15	Non-Qualified	Regular	Quarter
$0.3600	2015-03-05	2015-03-27	2015-03-31	2015-04-07	Non-Qualified	Regular	Quarter
$0.5300	2015-01-14	2015-01-29	2015-02-02	2015-02-16	Non-Qualified	Regular	Quarter
$0.5200	2014-10-17	2014-10-29	2014-10-31	2014-11-17	Non-Qualified	Regular	Quarter
$0.5100	2014-07-15	2014-07-29	2014-07-31	2014-08-15	Non-Qualified	Regular	Quarter
$0.5000	2014-04-18	2014-04-28	2014-04-30	2014-05-15	Non-Qualified	Regular	Quarter
$0.4900	2014-01-15	2014-01-29	2014-01-31	2014-02-17	Non-Qualified	Regular	Quarter
$0.4800	2013-10-15	2013-10-29	2013-10-31	2013-11-15	Non-Qualified	Regular	Quarter
$0.4700	2013-07-16	2013-07-29	2013-07-31	2013-08-15	Non-Qualified	Regular	Quarter
$0.4600	2013-04-16	2013-04-26	2013-04-30	2013-05-15	Non-Qualified	Regular	Quarter
$0.4500	2013-01-16	2013-01-29	2013-01-31	2013-02-15	Non-Qualified	Regular	Quarter
$0.4400	2012-10-17	2012-10-29	2012-10-31	2012-11-15	Non-Qualified	Regular	Quarter
$0.4200	2012-07-17	2012-07-27	2012-07-31	2012-08-15	Non-Qualified	Regular	Quarter
$0.4200	2012-04-17	2012-04-26	2012-04-30	2012-05-15	Non-Qualified	Regular	Quarter
$0.4100	2012-01-13	2012-01-27	2012-01-31	2012-02-15	Non-Qualified	Regular	Quarter
$0.4000	2011-10-13	2011-10-27	2011-10-31	2011-11-15	Non-Qualified	Regular	Quarter
$0.4000	2011-07-14	2011-07-28	2011-08-01	2011-08-15	Non-Qualified	Regular	Quarter
$0.3800	2011-04-14	2011-04-27	2011-04-29	2011-05-16	Non-Qualified	Regular	Quarter
$0.3700	2011-01-14	2011-01-27	2011-01-31	2011-02-15	Non-Qualified	Regular	Quarter
$0.3700	2010-10-14	2010-10-27	2010-10-29	2010-11-15	Non-Qualified	Regular	Quarter
$0.3600	2010-07-15	2010-07-28	2010-07-30	2010-08-16	Non-Qualified	Regular	Quarter
$0.3200	2010-04-15	2010-04-28	2010-04-30	2010-05-17	Non-Qualified	Regular	Quarter
$0.3200	2010-01-20	2010-01-27	2010-01-29	2010-02-16	Non-Qualified	Regular	Quarter
$0.3000	2009-10-20	2009-10-29	2009-11-02	2009-11-16	Non-Qualified	Regular	Quarter
$0.3000	2009-07-15	2009-07-29	2009-07-31	2009-08-17	Non-Qualified	Regular	Quarter
$0.3000	2009-04-16	2009-04-28	2009-04-30	2009-05-15	Non-Qualified	Regular	Quarter
$0.3000	2009-01-15	2009-01-28	2009-01-30	2009-02-17	Non-Qualified	Regular	Quarter
$0.3000	2008-10-16	2008-10-29	2008-10-31	2008-11-17	Non-Qualified	Regular	Quarter
$0.3000	2008-07-17	2008-07-29	2008-07-31	2008-08-15	Non-Qualified	Regular	Quarter
$0.3000	2008-04-16	2008-04-28	2008-04-30	2008-05-15	Non-Qualified	Regular	Quarter
$0.2900	2008-01-17	2008-01-29	2008-01-31	2008-02-15	Non-Qualified	Regular	Quarter
$0.2800	2007-10-16	2007-10-29	2007-10-31	2007-11-15	Non-Qualified	Regular	Quarter
$0.2700	2007-07-17	2007-07-27	2007-07-31	2007-08-15	Non-Qualified	Regular	Quarter
$0.2700	2007-04-18	2007-04-26	2007-04-30	2007-05-15	Non-Qualified	Regular	Quarter
$0.2600	2007-01-16	2007-01-29	2007-01-31	2007-02-15	Non-Qualified	Regular	Quarter
$0.2500	2006-10-24	2006-11-01	2006-11-03	2006-11-15	Non-Qualified	Regular	Quarter
$0.2400	2006-07-17	2006-07-27	2006-07-31	2006-08-15	Non-Qualified	Regular	Quarter
$0.2400	2006-04-18	2006-04-26	2006-04-28	2006-05-15	Non-Qualified	Regular	Quarter
$0.2300	2006-01-17	2006-01-27	2006-01-31	2006-02-15	Non-Qualified	Regular	Quarter
$0.2200	2005-10-18	2005-10-27	2005-10-31	2005-11-15	Non-Qualified	Regular	Quarter
$0.2200	2005-07-19	2005-07-27	2005-07-29	2005-08-15	Non-Qualified	Regular	Quarter
$0.2100	2005-04-19	2005-04-28	2005-05-02	2005-05-16	Non-Qualified	Regular	Quarter
$0.2000	2005-01-18	2005-01-27	2005-01-31	2005-02-15	Non-Qualified	Regular	Quarter
$0.1900	2004-10-20	2004-10-27	2004-10-29	2004-11-15	Non-Qualified	Regular	Quarter
$0.1800	2004-07-20	2004-07-28	2004-07-30	2004-08-16	Non-Qualified	Regular	Quarter
$0.1800	2004-04-20	2004-04-28	2004-04-30	2004-05-17	Non-Qualified	Regular	Quarter
$0.1700	2004-01-23	2004-01-29	2004-02-02	2004-02-13	Non-Qualified	Regular	Quarter
$0.1500	2003-09-23	2003-10-29	2003-10-31	2003-11-17	Non-Qualified	Regular	Quarter
$0.2500	2000-10-18	2000-10-27	2000-10-31	2000-11-15	Unknown	Regular	Quarter
$0.2500	2000-07-28	2000-08-03	2000-08-07	2000-08-15	Unknown	Regular	Quarter
$0.5000	2000-01-21	2000-01-26	2000-01-28	2000-02-15	Unknown	Regular	Quarter
$0.7000	1999-10-19	1999-10-27	1999-10-29	1999-11-15	Unknown	Regular	Quarter
$0.7000	1999-07-20	1999-07-28	1999-07-30	1999-08-13	Unknown	Regular	Quarter
$0.7000	1999-04-20	1999-04-28	1999-04-30	1999-05-14	Unknown	Regular	Quarter
$0.7000	1999-01-20	1999-01-27	1999-01-29	1999-02-15	Unknown	Regular	Quarter
$0.6700	1998-10-26	1998-10-28	1998-10-30	1998-11-13	Unknown	Regular	Quarter
$0.6700	1998-07-17	1998-07-29	1998-07-31	1998-08-14	Unknown	Regular	Quarter
$0.6700	1998-04-16	1998-04-28	1998-04-30	1998-05-15	Unknown	Regular	Quarter
$0.6700	1998-01-15	1998-01-28	1998-01-30	1998-02-13	Unknown	Regular	Quarter
$0.6450	1997-10-15	1997-10-29	1997-10-31	1997-11-14	Unknown	Regular	Quarter
$0.6450	1997-07-18	1997-07-31	1997-08-04	1997-08-15	Unknown	Regular	Quarter
$0.6450	1997-04-15	1997-04-30	1997-05-02	1997-05-15	Unknown	Regular	Quarter
$0.6450	1997-01-23	1997-01-30	1997-02-03	1997-02-14	Unknown	Regular	Quarter
$0.6200	1996-10-18	1996-10-31	1996-11-04	1996-11-15	Unknown	Regular	Quarter
$0.6200	1996-07-17	1996-07-31	1996-08-02	1996-08-15	Unknown	Regular	Quarter
$0.6200	1996-04-17	1996-04-30	1996-05-02	1996-05-15	Unknown	Regular	Quarter
$0.6200	1996-01-24	1996-01-31	1996-02-02	1996-02-15	Unknown	Regular	Quarter
$0.5900	1995-10-18	1995-10-31	1995-11-02	1995-11-15	Unknown	Regular	Quarter
$0.5900	1995-07-18	1995-07-31	1995-08-02	1995-08-15	Unknown	Regular	Quarter
$0.5900	1995-04-18	1995-04-26	1995-05-02	1995-05-15	Unknown	Regular	Quarter
$0.5900	1995-01-18	1995-01-27	1995-02-02	1995-02-15	Unknown	Regular	Quarter
$0.5800	1994-10-19	1994-10-27	1994-11-02	1994-11-15	Unknown	Regular	Quarter
