Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.9400		2015-08-12	2015-08-14	2015-09-21	Unknown	Regular	Quarter
$0.9400		2015-05-13	2015-05-15	2015-06-22	Unknown	Regular	Quarter
$0.9400		2015-02-11	2015-02-13	2015-03-20	Unknown	Regular	Quarter
$0.9400		2014-11-12	2014-11-14	2014-12-22	Unknown	Regular	Quarter
$0.9400		2014-08-13	2014-08-15	2014-09-25	Unknown	Regular	Quarter
$0.9400		2014-05-14	2014-05-16	2014-06-26	Unknown	Regular	Quarter
$0.9000		2014-02-12	2014-02-14	2014-03-27	Unknown	Regular	Quarter
$0.9000		2013-11-13	2013-11-15	2013-12-23	Unknown	Regular	Quarter
$0.9000		2013-08-14	2013-08-16	2013-09-26	Unknown	Regular	Quarter
$0.9000		2013-05-15	2013-05-17	2013-06-27	Unknown	Regular	Quarter
$0.8600		2013-02-13	2013-02-15	2013-03-28	Unknown	Regular	Quarter
$0.8600		2012-11-14	2012-11-16	2012-12-20	Unknown	Regular	Quarter
$0.8600		2012-08-08	2012-08-10	2012-09-20	Unknown	Regular	Quarter
$0.8600		2012-05-09	2012-05-11	2012-06-21	Unknown	Regular	Quarter
$0.8400		2012-02-15	2012-02-17	2012-03-22	Unknown	Regular	Quarter
$0.8400		2011-11-02	2011-11-04	2011-12-16	Unknown	Regular	Quarter
$0.8400		2011-08-03	2011-08-05	2011-09-19	Unknown	Regular	Quarter
$0.8400		2011-02-09	2011-02-11	2011-03-25	Unknown	Regular	Quarter
$0.8400		2011-02-09	2011-02-11	2011-03-25	Unknown	Regular	Quarter
$0.8400		2010-11-03	2010-11-05	2010-12-17	Unknown	Regular	Quarter
$0.8400		2010-08-04	2010-08-06	2010-09-08	Unknown	Regular	Quarter
$0.8400		2010-05-05	2010-05-07	2010-06-09	Unknown	Regular	Quarter
$0.8400		2010-02-10	2010-02-12	2010-03-17	Unknown	Regular	Quarter
$0.8400		2009-11-04	2009-11-06	2009-12-09	Unknown	Regular	Quarter
$0.8400		2009-08-05	2009-08-07	2009-09-09	Unknown	Regular	Quarter
$0.8400		2009-05-06	2009-05-08	2009-06-10	Unknown	Regular	Quarter
$0.8000		2009-02-04	2009-02-06	2009-03-11	Unknown	Regular	Quarter
$0.8000		2008-11-05	2008-11-07	2008-12-10	Unknown	Regular	Quarter
$0.8000		2008-08-06	2008-08-08	2008-09-10	Unknown	Regular	Quarter
$0.8000		2008-05-14	2008-05-16	2008-06-11	Unknown	Regular	Quarter
$0.7200		2008-02-06	2008-02-08	2008-03-12	Unknown	Regular	Quarter
$0.7200		2007-10-31	2007-11-02	2007-12-12	Unknown	Regular	Quarter
$0.7200		2007-08-01	2007-08-03	2007-09-12	Unknown	Regular	Quarter
$0.7200		2007-05-09	2007-05-11	2007-06-13	Unknown	Regular	Quarter
$0.5525		2007-02-07	2007-02-09	2007-03-14	Unknown	Regular	Quarter
$0.6294		2006-11-01	2006-11-03	2006-12-13	Unknown	Regular	Quarter
$0.6308		2006-08-02	2006-08-04	2006-09-13	Unknown	Regular	Quarter
$0.6305		2006-05-10	2006-05-12	2006-06-14	Unknown	Regular	Quarter
$0.5566		2006-02-08	2006-02-10	2006-03-15	Unknown	Regular	Quarter
$0.5556		2005-11-02	2005-11-04	2005-12-15	Yes	Regular	Quarter
$0.5538		2005-08-03	2005-08-05	2005-09-15	Yes	Regular	Quarter
