Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.5425	2015-07-20	2015-08-13	2015-08-17	2015-09-05	Yes	Regular	Quarter
$0.5425	2015-04-20	2015-05-14	2015-05-18	2015-06-06	Yes	Regular	Quarter
$0.5250	2015-01-16	2015-02-12	2015-02-17	2015-03-06	Yes	Regular	Quarter
$0.5250	2014-10-20	2014-10-30	2014-11-03	2014-12-06	Yes	Regular	Quarter
$0.5250	2014-07-21	2014-07-31	2014-08-04	2014-09-06	Yes	Regular	Quarter
$0.5250	2014-04-21	2014-05-01	2014-05-05	2014-06-06	Yes	Regular	Quarter
$0.5075	2014-01-17	2014-01-30	2014-02-03	2014-03-06	Yes	Regular	Quarter
$0.5075	2013-10-21	2013-10-31	2013-11-04	2013-12-06	Yes	Regular	Quarter
$0.5075	2013-07-15	2013-08-01	2013-08-05	2013-09-06	Yes	Regular	Quarter
$0.5075	2013-04-15	2013-05-02	2013-05-06	2013-06-06	Yes	Regular	Quarter
$0.4900	2013-01-18	2013-01-31	2013-02-04	2013-03-06	Yes	Regular	Quarter
$0.4900	2012-10-15	2012-11-01	2012-11-05	2012-12-06	Yes	Regular	Quarter
$0.4900	2012-07-16	2012-08-02	2012-08-06	2012-09-06	Yes	Regular	Quarter
$0.4900	2012-04-16	2012-05-03	2012-05-07	2012-06-06	Yes	Regular	Quarter
$0.4725	2012-01-13	2012-02-02	2012-02-06	2012-03-06	Yes	Regular	Quarter
$0.4725	2011-10-17	2011-11-03	2011-11-07	2011-12-06	Yes	Regular	Quarter
$0.4725	2011-07-18	2011-07-28	2011-08-01	2011-09-06	Yes	Regular	Quarter
$0.4725	2011-04-18	2011-04-28	2011-05-02	2011-06-06	Yes	Regular	Quarter
$0.4550	2011-01-13	2011-02-03	2011-02-07	2011-03-05	Yes	Regular	Quarter
$0.4550	2010-10-18	2010-10-28	2010-11-01	2010-12-06	Yes	Regular	Quarter
