Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,9.44,9.45,9.21,9.25,1594700,9.25
2015-09-04,9.24,9.41,9.20,9.30,1192800,9.30
2015-09-03,9.31,9.50,9.23,9.42,1306400,9.42
2015-09-02,9.35,9.37,9.13,9.27,1738300,9.27
2015-09-01,9.24,9.39,9.18,9.27,1651100,9.27
2015-08-31,9.40,9.58,9.19,9.46,1550900,9.46
2015-08-28,9.19,9.55,9.16,9.47,1716100,9.47
2015-08-27,9.08,9.35,8.97,9.22,2459200,9.22
2015-08-26,8.95,9.07,8.76,9.04,2199400,9.04
2015-08-25,9.07,9.22,8.69,8.75,3127100,8.75
2015-08-24,8.71,8.99,8.34,8.83,3085000,8.83
2015-08-21,9.24,9.41,9.00,9.24,3672300,9.24
2015-08-20,9.46,9.49,9.23,9.33,3502300,9.33
2015-08-19,9.87,9.90,9.50,9.52,4870000,9.52
2015-08-18,10.39,10.40,9.97,10.00,3325400,10.00
2015-08-17,10.23,10.49,10.09,10.37,1602000,10.37
2015-08-14,10.15,10.35,10.05,10.32,1683500,10.32
2015-08-13,10.30,10.30,10.03,10.13,1770900,10.13
2015-08-12,10.48,10.52,9.95,10.27,2204000,10.27
2015-08-11,10.42,10.44,10.22,10.30,2487400,10.175
2015-08-10,10.54,10.60,10.37,10.43,1776100,10.303423
2015-08-07,10.66,10.78,10.49,10.55,1931500,10.421966
2015-08-06,10.63,10.71,10.45,10.66,2309000,10.530631
2015-08-05,10.71,10.79,10.47,10.66,2608300,10.530631
2015-08-04,10.73,10.84,10.36,10.63,2988800,10.500995
2015-08-03,10.75,10.87,10.63,10.69,2024700,10.560267
2015-07-31,10.82,10.94,10.70,10.74,2169500,10.60966
2015-07-30,10.86,10.98,10.74,10.90,3713500,10.767718
2015-07-29,11.53,11.53,10.72,10.87,5131100,10.738082
2015-07-28,10.99,11.07,10.72,11.07,4020800,10.935655
2015-07-27,10.91,11.17,10.83,10.97,2931600,10.836869
2015-07-24,10.93,11.01,10.63,10.97,4376200,10.836869
2015-07-23,11.61,11.64,10.92,10.98,3321600,10.846747
2015-07-22,11.37,11.63,11.34,11.55,4140600,11.40983
2015-07-21,11.40,11.46,11.25,11.31,5956000,11.172743
2015-07-20,11.54,11.54,11.26,11.28,2651400,11.143107
