Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.1250	2015-07-29	2015-08-12	2015-08-14	2015-09-04	Unknown	Regular	Quarter
$0.1250	2015-04-27	2015-05-19	2015-05-21	2015-06-10	Unknown	Regular	Quarter
$0.1200	2015-02-26	2015-03-11	2015-03-13	2015-03-30	Unknown	Regular	Quarter
$0.1200	2014-11-10	2014-11-21	2014-11-25	2014-12-12	Unknown	Regular	Quarter
$0.1000	2014-07-28	2014-08-20	2014-08-22	2014-09-10	Unknown	Regular	Quarter
$0.0900	2014-04-28	2014-05-22	2014-05-27	2014-06-12	Unknown	Regular	Quarter
$0.0800	2014-02-21	2014-03-07	2014-03-11	2014-03-26	Unknown	Regular	Quarter
$0.0700	2013-10-28	2013-11-29	2013-12-03	2013-12-18	Unknown	Regular	Quarter
$0.0350	2013-07-29	2013-09-06	2013-09-10	2013-09-25	Unknown	Regular	Quarter
$0.0250	2013-04-15	2013-06-07	2013-06-11	2013-06-25	Unknown	Regular	Quarter
