Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.4700	2015-06-26	2015-07-08	2015-07-10	2015-08-03	Yes	Regular	Quarter
$0.4700	2015-03-27	2015-04-08	2015-04-10	2015-05-01	Yes	Regular	Quarter
$0.4700	2014-12-19	2015-01-07	2015-01-09	2015-02-02	Yes	Regular	Quarter
$0.4600	2014-09-26	2014-10-08	2014-10-10	2014-11-03	Yes	Regular	Quarter
$0.4600	2014-06-27	2014-07-08	2014-07-10	2014-08-01	Yes	Regular	Quarter
$0.4600	2014-03-28	2014-04-08	2014-04-10	2014-05-01	Yes	Regular	Quarter
$0.4600	2013-12-13	2014-01-08	2014-01-10	2014-02-03	Yes	Regular	Quarter
$0.4500	2013-09-27	2013-10-08	2013-10-10	2013-11-01	Yes	Regular	Quarter
$0.4500	2013-06-28	2013-07-08	2013-07-10	2013-08-01	Yes	Regular	Quarter
$0.4500	2013-03-29	2013-04-08	2013-04-10	2013-05-01	Yes	Regular	Quarter
$0.4500	2012-11-07	2013-01-08	2013-01-10	2013-02-01	Yes	Regular	Quarter
$0.4400	2012-09-28	2012-10-05	2012-10-10	2012-11-01	Yes	Regular	Quarter
$0.4400	2012-06-29	2012-07-06	2012-07-10	2012-08-01	Yes	Regular	Quarter
$0.4400	2012-03-30	2012-04-05	2012-04-10	2012-05-01	Yes	Regular	Quarter
$0.4400	2011-12-16	2012-01-06	2012-01-10	2012-02-01	Yes	Regular	Quarter
$0.4300	2011-09-30	2011-10-05	2011-10-10	2011-11-01	Yes	Regular	Quarter
$0.4300	2011-06-24	2011-07-06	2011-07-08	2011-08-01	Yes	Regular	Quarter
$0.4300	2011-03-25	2011-04-06	2011-04-08	2011-05-02	Yes	Regular	Quarter
$0.4300	2010-12-17	2011-01-06	2011-01-10	2011-02-01	Yes	Regular	Quarter
$0.4200	2010-09-24	2010-10-06	2010-10-08	2010-11-01	Yes	Regular	Quarter
$0.4200	2010-06-25	2010-07-07	2010-07-09	2010-08-02	Yes	Regular	Quarter
$0.4200	2010-03-26	2010-04-07	2010-04-09	2010-05-03	Yes	Regular	Quarter
$0.4200	2009-12-18	2010-01-06	2010-01-08	2010-02-01	Yes	Regular	Quarter
$0.4100	2009-09-25	2009-10-07	2009-10-09	2009-11-02	Yes	Regular	Quarter
$0.4100	2009-06-26	2009-07-08	2009-07-10	2009-08-03	Yes	Regular	Quarter
$0.4100	2009-03-27	2009-04-07	2009-04-09	2009-05-01	Yes	Regular	Quarter
$0.4100	2008-12-12	2009-01-07	2009-01-09	2009-02-02	Yes	Regular	Quarter
$0.4000	2008-09-26	2008-10-08	2008-10-10	2008-11-03	Yes	Regular	Quarter
$0.4000	2008-06-27	2008-07-08	2008-07-10	2008-08-01	Yes	Regular	Quarter
$0.4000	2008-03-28	2008-04-08	2008-04-10	2008-05-01	Yes	Regular	Quarter
$0.4000	2007-12-11	2008-01-08	2008-01-10	2008-02-01	Yes	Regular	Quarter
$0.3550	2007-09-28	2007-10-05	2007-10-10	2007-11-01	Yes	Regular	Quarter
$0.3550	2007-06-29	2007-07-06	2007-07-10	2007-08-01	Yes	Regular	Quarter
$0.3550	2007-03-30	2007-04-05	2007-04-10	2007-05-01	Yes	Regular	Quarter
$0.3550	2006-12-15	2007-01-08	2007-01-10	2007-02-01	Yes	Regular	Quarter
$0.3325	2006-09-29	2006-10-05	2006-10-10	2006-11-01	Yes	Regular	Quarter
$0.3325	2006-06-30	2006-07-06	2006-07-10	2006-08-01	Yes	Regular	Quarter
$0.3325	2006-03-31	2006-04-06	2006-04-10	2006-05-01	Yes	Regular	Quarter
$0.3325	2005-12-09	2006-01-06	2006-01-10	2006-02-01	Yes	Regular	Quarter
$0.3225	2005-09-30	2005-10-05	2005-10-10	2005-11-01	Yes	Regular	Quarter
$0.3225	2005-06-24	2005-07-06	2005-07-08	2005-08-01	Yes	Regular	Quarter
$0.3225	2005-03-11	2005-04-06	2005-04-08	2005-05-02	Yes	Regular	Quarter
$0.3225	2004-12-10	2005-01-06	2005-01-10	2005-02-01	Yes	Regular	Quarter
$0.3125	2004-09-24	2004-10-06	2004-10-08	2004-11-01	Yes	Regular	Quarter
$0.3125	2004-06-25	2004-07-07	2004-07-10	2004-08-02	Yes	Regular	Quarter
$0.3125	2004-03-26	2004-04-06	2004-04-10	2004-05-03	Yes	Regular	Quarter
$0.3125	2003-12-12	2004-01-07	2004-01-10	2004-02-02	Yes	Regular	Quarter
$0.2825	2003-09-26	2003-10-08	2003-10-10	2003-11-03	Yes	Regular	Quarter
$0.1000	2003-09-26	2003-10-08	2003-10-10	2003-11-03	Yes	Special	N/A
$0.2825	2003-06-27	2003-07-08	2003-07-10	2003-08-01	Yes	Regular	Quarter
$0.1000	2003-06-27	2003-07-08	2003-07-10	2003-08-01	Yes	Special	N/A
$0.2825	2003-03-28	2003-04-08	2003-04-10	2003-05-01	Yes	Regular	Quarter
$0.0500	2003-03-28	2003-04-08	2003-04-10	2003-05-01	Yes	Special	N/A
$0.2700	2002-12-13	2003-01-08	2003-01-10	2003-02-03	Yes	Regular	Quarter
$0.2700	2002-09-27	2002-10-08	2002-10-10	2002-11-01	Unknown	Regular	Quarter
$0.2700	2002-06-28	2002-07-08	2002-07-10	2002-08-01	Unknown	Regular	Quarter
$0.2700	2002-03-22	2002-04-08	2002-04-10	2002-05-01	Unknown	Regular	Quarter
$0.2563	2001-12-14	2002-01-08	2002-01-10	2002-02-01	Unknown	Regular	Quarter
$0.2563	2001-09-28	2001-10-05	2001-10-10	2001-11-01	Unknown	Regular	Quarter
$0.2563	2001-06-29	2001-07-06	2001-07-10	2001-08-01	Unknown	Regular	Quarter
$0.2563	2001-03-30	2001-04-06	2001-04-10	2001-05-01	Unknown	Regular	Quarter
$0.2538	2000-12-15	2001-01-08	2001-01-10	2001-02-01	Unknown	Regular	Quarter
$0.2538		2000-10-05	2000-10-10	2000-11-01	Unknown	Regular	Quarter
$0.2538	2000-06-30	2000-07-06	2000-07-10	2000-08-01	Unknown	Regular	Quarter
$0.2538	2000-03-31	2000-04-06	2000-04-10	2000-05-01	Unknown	Regular	Quarter
$0.2438	1999-12-17	2000-01-06	2000-01-10	2000-02-01	Unknown	Regular	Quarter
$0.2438	1999-08-31	1999-09-07	1999-09-09	1999-11-01	Unknown	Regular	Quarter
$0.2438	1999-06-25	1999-07-07	1999-07-10	1999-08-02	Unknown	Regular	Quarter
$0.2438	1999-03-26	1999-04-07	1999-04-10	1999-05-03	Unknown	Regular	Quarter
$0.2338	1998-12-21	1999-01-06	1999-01-10	1999-02-01	Unknown	Regular	Quarter
$0.2338	1998-09-25	1998-10-07	1998-10-10	1998-11-02	Unknown	Regular	Quarter
$0.2338	1998-06-26	1998-07-08	1998-07-10	1998-08-03	Unknown	Regular	Quarter
$0.2338	1998-01-30	1998-04-07	1998-04-10	1998-05-01	Unknown	Regular	Quarter
2-for-1	1998-01-30	1998-03-20	1998-02-20	1998-03-19	NM	Stock Split	NM
$0.2238	1997-12-19	1998-01-07	1998-01-10	1998-02-02	Unknown	Regular	Quarter
$0.2238	1997-09-26	1997-10-08	1997-10-10	1997-11-03	Unknown	Regular	Quarter
$0.2238	1997-06-27	1997-07-08	1997-07-10	1997-08-01	Unknown	Regular	Quarter
$0.2238	1997-03-18	1997-03-25	1997-03-28	1997-05-01	Unknown	Regular	Quarter
$0.2150	1996-12-20	1997-01-08	1997-01-10	1997-02-03	Unknown	Regular	Quarter
$0.2150	1996-09-27	1996-10-08	1996-10-10	1996-11-01	Unknown	Regular	Quarter
$0.2150	1996-06-28	1996-07-08	1996-07-10	1996-08-01	Unknown	Regular	Quarter
$0.2150	1996-03-29	1996-04-08	1996-04-10	1996-05-01	Unknown	Regular	Quarter
$0.2063	1995-12-15	1996-01-08	1996-01-10	1996-02-01	Unknown	Regular	Quarter
$0.2063	1995-09-29	1995-10-05	1995-10-10	1995-11-01	Unknown	Regular	Quarter
