Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.4000	2015-09-02	2015-09-14	2015-09-16	2015-09-29	Yes	Regular	Quarter
$0.4000	2015-06-03	2015-06-15	2015-06-17	2015-06-30	Yes	Regular	Quarter
$0.4000	2015-03-03	2015-03-16	2015-03-18	2015-03-31	Yes	Regular	Quarter
$0.4000	2014-12-01	2014-12-10	2014-12-12	2014-12-30	Yes	Regular	Quarter
$0.4000	2014-09-02	2014-09-11	2014-09-15	2014-09-26	Unknown	Regular	Quarter
$0.4000	2014-05-28	2014-06-11	2014-06-13	2014-06-27	Yes	Regular	Quarter
$0.4000	2014-03-10	2014-03-18	2014-03-20	2014-03-28	Yes	Regular	Quarter
$0.4000	2013-12-02	2013-12-11	2013-12-13	2013-12-27	Yes	Regular	Quarter
$0.4000	2013-09-04	2013-09-12	2013-09-16	2013-09-27	Yes	Regular	Quarter
$0.4000	2013-05-31	2013-06-12	2013-06-14	2013-06-27	Yes	Regular	Quarter
$0.4000	2013-02-28	2013-03-13	2013-03-15	2013-03-28	Yes	Regular	Quarter
$0.4000	2012-11-28	2012-12-06	2012-12-10	2012-12-20	Yes	Regular	Quarter
$0.4000	2012-09-04	2012-09-19	2012-09-21	2012-09-28	Yes	Regular	Quarter
$0.4000	2012-05-31	2012-06-18	2012-06-20	2012-06-28	Yes	Regular	Quarter
$0.4000	2012-03-05	2012-03-14	2012-03-16	2012-03-29	Yes	Regular	Quarter
$0.4000	2011-11-28	2011-12-13	2011-12-15	2011-12-29	Yes	Regular	Quarter
$0.4000	2011-09-01	2011-09-16	2011-09-20	2011-09-29	Yes	Regular	Quarter
$0.4000	2011-06-08	2011-06-15	2011-06-17	2011-06-29	Yes	Regular	Quarter
$0.4000	2011-03-07	2011-03-16	2011-03-18	2011-03-29	Yes	Regular	Quarter
$0.4000	2010-12-07	2010-12-16	2010-12-20	2010-12-30	Yes	Regular	Quarter
$0.4000	2010-09-02	2010-09-14	2010-09-16	2010-09-29	Yes	Regular	Quarter
$0.4000	2010-06-08	2010-06-16	2010-06-18	2010-06-30	Yes	Regular	Quarter
$0.4000	2010-03-09	2010-03-17	2010-03-19	2010-03-30	Yes	Regular	Quarter
$0.4000	2009-12-07	2009-12-16	2009-12-18	2009-12-30	Yes	Regular	Quarter
$0.4000	2009-09-08	2009-09-16	2009-09-18	2009-09-29	Yes	Regular	Quarter
$0.4000	2009-06-03	2009-06-16	2009-06-18	2009-06-30	Yes	Regular	Quarter
$0.4000	2009-03-09	2009-03-18	2009-03-20	2009-03-31	Yes	Regular	Quarter
$0.4000	2008-12-05	2008-12-16	2008-12-18	2008-12-29	Yes	Regular	Quarter
$0.4000	2008-09-04	2008-09-17	2008-09-19	2008-09-29	Yes	Regular	Quarter
