Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.5650	2015-09-03	2015-10-07	2015-10-09	2015-11-02	Yes	Regular	Quarter
$0.5500	2015-06-04	2015-07-08	2015-07-10	2015-08-03	Yes	Regular	Quarter
$0.5500	2015-03-06	2015-04-08	2015-04-10	2015-05-01	Yes	Regular	Quarter
$0.5500	2014-12-04	2015-01-07	2015-01-09	2015-02-02	Yes	Regular	Quarter
$0.5500	2014-09-04	2014-10-08	2014-10-10	2014-11-03	Yes	Regular	Quarter
$0.5300	2014-06-05	2014-07-08	2014-07-10	2014-08-01	Yes	Regular	Quarter
$0.5300	2014-03-07	2014-04-08	2014-04-10	2014-05-01	Yes	Regular	Quarter
$0.5300	2013-12-05	2014-01-08	2014-01-10	2014-02-03	Yes	Regular	Quarter
$0.5300	2013-09-02	2013-10-08	2013-10-10	2013-11-01	Yes	Regular	Quarter
$0.5150	2013-06-06	2013-07-08	2013-07-10	2013-08-01	Yes	Regular	Quarter
$0.5150	2013-03-08	2013-04-08	2013-04-10	2013-05-01	Yes	Regular	Quarter
$0.5150	2012-12-06	2013-01-08	2013-01-10	2013-02-01	Yes	Regular	Quarter
$0.5150	2012-09-06	2012-10-05	2012-10-10	2012-11-01	Yes	Regular	Quarter
$0.5000	2012-06-07	2012-07-06	2012-07-10	2012-08-01	Yes	Regular	Quarter
$0.5000	2012-03-02	2012-04-05	2012-04-10	2012-05-01	Yes	Regular	Quarter
$0.5000	2011-12-01	2012-01-06	2012-01-10	2012-02-01	Yes	Regular	Quarter
$0.5000	2011-09-01	2011-10-05	2011-10-07	2011-11-01	Yes	Regular	Quarter
$0.4875	2011-06-02	2011-07-06	2011-07-08	2011-08-01	Yes	Regular	Quarter
$0.4875	2011-03-04	2011-04-06	2011-04-08	2011-05-02	Yes	Regular	Quarter
$0.4875	2010-12-02	2011-01-06	2011-01-10	2011-02-01	Yes	Regular	Quarter
$0.4875	2010-09-02	2010-10-06	2010-10-08	2010-11-01	Yes	Regular	Quarter
$0.4750	2010-06-03	2010-07-07	2010-07-09	2010-08-02	Yes	Regular	Quarter
$0.4750	2010-03-05	2010-04-07	2010-04-09	2010-05-03	Yes	Regular	Quarter
$0.4750	2009-12-03	2010-01-06	2010-01-08	2010-02-01	Yes	Regular	Quarter
$0.4750	2009-09-03	2009-10-07	2009-10-09	2009-11-02	Yes	Regular	Quarter
$0.4600	2009-06-04	2009-07-08	2009-07-10	2009-08-03	Yes	Regular	Quarter
$0.4600	2009-03-04	2009-04-07	2009-04-09	2009-05-01	Yes	Regular	Quarter
$0.4600	2008-12-04	2009-01-07	2009-01-09	2009-02-02	Yes	Regular	Quarter
$0.4600	2008-09-04	2008-10-08	2008-10-10	2008-11-03	Yes	Regular	Quarter
$0.4300	2008-06-05	2008-07-08	2008-07-10	2008-08-01	Yes	Regular	Quarter
$0.4300	2008-03-17	2008-04-08	2008-04-10	2008-05-01	Yes	Regular	Quarter
$0.4300	2007-12-06	2008-01-08	2008-01-10	2008-02-01	Yes	Regular	Quarter
$0.4300	2007-09-06	2007-10-05	2007-10-10	2007-11-01	Yes	Regular	Quarter
$0.4050	2007-06-07	2007-07-06	2007-07-10	2007-08-01	Yes	Regular	Quarter
$0.4050	2007-03-01	2007-04-05	2007-04-10	2007-05-01	Yes	Regular	Quarter
$0.4050	2006-12-07	2007-01-08	2007-01-10	2007-02-01	Yes	Regular	Quarter
$0.4050	2006-09-07	2006-10-05	2006-10-10	2006-11-01	Yes	Regular	Quarter
$0.4050	2006-06-01	2006-07-06	2006-07-10	2006-08-01	Yes	Regular	Quarter
$0.4050	2006-03-02	2006-04-06	2006-04-10	2006-05-01	Yes	Regular	Quarter
$0.4050	2005-12-01	2006-01-06	2006-01-10	2006-02-01	Yes	Regular	Quarter
$0.4050	2005-09-01	2005-10-05	2005-10-07	2005-11-01	Yes	Regular	Quarter
$0.4050	2005-06-02	2005-07-06	2005-07-08	2005-08-01	Yes	Regular	Quarter
$0.4050	2005-03-04	2005-04-06	2005-04-08	2005-05-02	Yes	Regular	Quarter
$0.3850	2004-12-02	2005-01-06	2005-01-10	2005-02-01	Yes	Regular	Quarter
$0.3850	2004-09-02	2004-10-06	2004-10-08	2004-11-01	Yes	Regular	Quarter
$0.3850	2004-06-03	2004-07-07	2004-07-09	2004-08-02	Yes	Regular	Quarter
$0.3850	2004-03-08	2004-04-06	2004-04-09	2004-05-03	Yes	Regular	Quarter
$0.3850	2003-12-04	2004-01-07	2004-01-09	2004-02-02	Yes	Regular	Quarter
$0.3850	2003-09-04	2003-10-08	2003-10-10	2003-11-03	Yes	Regular	Quarter
$0.3850	2003-06-05	2003-07-08	2003-07-10	2003-08-01	Yes	Regular	Quarter
$0.3850	2003-03-10	2003-04-08	2003-04-10	2003-05-01	Yes	Regular	Quarter
$0.3850	2002-12-05	2003-01-08	2003-01-10	2003-02-03	Yes	Regular	Quarter
$0.3850	2002-09-05	2002-10-08	2002-10-10	2002-11-01	Unknown	Regular	Quarter
$0.3850	2002-06-06	2002-07-08	2002-07-10	2002-08-01	Unknown	Regular	Quarter
$0.3850	2002-03-11	2002-04-08	2002-04-10	2002-05-01	Unknown	Regular	Quarter
$0.3850	2001-12-06	2002-01-08	2002-01-10	2002-02-01	Unknown	Regular	Quarter
$0.3850	2001-09-06	2001-10-05	2001-10-10	2001-11-01	Unknown	Regular	Quarter
$0.3850	2001-06-07	2001-07-06	2001-07-10	2001-08-01	Unknown	Regular	Quarter
$0.3850	2001-03-05	2001-04-06	2001-04-10	2001-05-01	Unknown	Regular	Quarter
$0.3850	2000-12-07	2001-01-08	2001-01-10	2001-02-01	Unknown	Regular	Quarter
$0.3850	2000-09-07	2000-10-05	2000-10-10	2000-11-01	Unknown	Regular	Quarter
$0.0465	2000-06-30	2000-07-06	2000-07-10	2000-08-01	Unknown	Regular	Quarter
$0.3385	2000-06-01	2000-07-03	2000-06-29	2000-07-21	Unknown	Regular	Quarter
$0.3850	2000-03-28	2000-04-06	2000-04-10	2000-05-01	Unknown	Regular	Quarter
$0.3850	1999-11-23	2000-01-06	2000-01-10	2000-02-01	Unknown	Regular	Quarter
$0.3850	1999-09-28	1999-10-06	1999-10-08	1999-11-01	Unknown	Regular	Quarter
$0.3850	1999-06-22	1999-07-07	1999-07-09	1999-08-02	Unknown	Regular	Quarter
$0.3850	1999-03-23	1999-04-07	1999-04-09	1999-05-03	Unknown	Regular	Quarter
$0.3850	1998-11-24	1999-01-06	1999-01-08	1999-02-01	Unknown	Regular	Quarter
$0.3850	1998-09-22	1998-10-07	1998-10-09	1998-11-02	Unknown	Regular	Quarter
$0.3850	1998-06-23	1998-07-08	1998-07-10	1998-08-03	Unknown	Regular	Quarter
2-for-1	1998-05-01	1998-06-30	1998-06-01	1998-06-29	NM	Stock Split	NM
$0.3850	1998-03-24	1998-04-07	1998-04-10	1998-05-01	Unknown	Regular	Quarter
$0.3850	1997-11-25	1998-01-07	1998-01-09	1998-02-02	Unknown	Regular	Quarter
$0.3850	1997-09-23	1997-10-08	1997-10-10	1997-11-03	Unknown	Regular	Quarter
$0.3700	1997-06-27	1997-07-11	1997-07-10	1997-08-01	Unknown	Regular	Quarter
$0.3700	1997-03-25	1997-04-08	1997-04-10	1997-05-01	Unknown	Regular	Quarter
$0.3600	1996-11-26	1997-01-08	1997-01-10	1997-02-03	Unknown	Regular	Quarter
$0.3600	1996-09-24	1996-10-08	1996-10-10	1996-11-01	Unknown	Regular	Quarter
$0.3600	1996-06-25	1996-07-08	1996-07-10	1996-08-01	Unknown	Regular	Quarter
$0.3600	1996-03-26	1996-04-08	1996-04-10	1996-05-01	Unknown	Regular	Quarter
$0.3500	1995-11-28	1996-01-08	1996-01-10	1996-02-01	Unknown	Regular	Quarter
$0.3500	1995-09-27	1995-10-05	1995-10-10	1995-11-01	Unknown	Regular	Quarter
$0.3500	1995-06-27	1995-07-06	1995-07-10	1995-08-01	Unknown	Regular	Quarter
$0.3500	1995-03-28	1995-04-04	1995-04-10	1995-05-01	Unknown	Regular	Quarter
$0.3450	1994-11-22	1995-01-04	1995-01-10	1995-02-01	Unknown	Regular	Quarter
$0.3450	1994-08-23	1994-10-04	1994-10-11	1994-11-01	Unknown	Regular	Quarter
$0.3450	1994-06-28	1994-07-05	1994-07-11	1994-08-01	Unknown	Regular	Quarter
$0.3450	1994-03-22	1994-04-05	1994-04-11	1994-05-02	Unknown	Regular	Quarter
$0.3350	1993-11-23	1994-01-04	1994-01-10	1994-02-01	Unknown	Regular	Quarter
