Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.7300	2015-07-29	2015-08-11	2015-08-13	2015-09-10	Yes	Regular	Quarter
$0.7300	2015-04-29	2015-05-11	2015-05-13	2015-06-10	Yes	Regular	Quarter
$0.6900	2015-01-28	2015-02-06	2015-02-10	2015-03-10	Yes	Regular	Quarter
$0.6900	2014-10-29	2014-11-07	2014-11-12	2014-12-10	Yes	Regular	Quarter
$0.6900	2014-07-30	2014-08-11	2014-08-13	2014-09-10	Yes	Regular	Quarter
$0.6900	2014-04-30	2014-05-09	2014-05-13	2014-06-10	Yes	Regular	Quarter
$0.6300	2014-01-29	2014-02-06	2014-02-10	2014-03-10	Yes	Regular	Quarter
$0.6300	2013-10-30	2013-11-07	2013-11-12	2013-12-10	Yes	Regular	Quarter
$0.6300	2013-07-31	2013-08-09	2013-08-13	2013-09-10	Yes	Regular	Quarter
$0.6300	2013-04-24	2013-05-09	2013-05-13	2013-06-10	Yes	Regular	Quarter
$0.5700	2013-01-30	2013-02-07	2013-02-11	2013-03-11	Yes	Regular	Quarter
$0.5700	2012-10-25	2012-11-07	2012-11-09	2012-12-10	Yes	Regular	Quarter
$0.5700	2012-07-25	2012-08-09	2012-08-13	2012-09-10	Yes	Regular	Quarter
$0.5700	2012-04-25	2012-05-10	2012-05-14	2012-06-11	Yes	Regular	Quarter
$0.4700	2012-01-25	2012-02-08	2012-02-10	2012-03-09	Yes	Regular	Quarter
$0.4700	2011-10-26	2011-11-08	2011-11-10	2011-12-09	Yes	Regular	Quarter
$0.4700	2011-07-27	2011-08-10	2011-08-12	2011-09-09	Yes	Regular	Quarter
$0.4700	2011-04-27	2011-05-11	2011-05-13	2011-06-10	Yes	Regular	Quarter
$0.4400	2011-01-26	2011-02-08	2011-02-10	2011-03-10	Yes	Regular	Quarter
$0.4400	2010-10-27	2010-11-09	2010-11-12	2010-12-10	Yes	Regular	Quarter
$0.4400	2010-07-28	2010-08-11	2010-08-13	2010-09-10	Yes	Regular	Quarter
$0.4400	2010-04-28	2010-05-11	2010-05-13	2010-06-10	Yes	Regular	Quarter
$0.4200	2010-01-27	2010-02-08	2010-02-10	2010-03-10	Yes	Regular	Quarter
$0.4200	2009-10-28	2009-11-09	2009-11-12	2009-12-10	Yes	Regular	Quarter
$0.4200	2009-07-29	2009-08-11	2009-08-13	2009-09-10	Yes	Regular	Quarter
$0.4200	2009-04-29	2009-05-11	2009-05-13	2009-06-10	Yes	Regular	Quarter
$0.4000	2009-01-28	2009-02-06	2009-02-10	2009-03-10	Yes	Regular	Quarter
$0.4000	2008-10-29	2008-11-07	2008-11-12	2008-12-10	Yes	Regular	Quarter
$0.4000	2008-07-30	2008-08-11	2008-08-13	2008-09-10	Yes	Regular	Quarter
$0.4000	2008-04-30	2008-05-09	2008-05-13	2008-06-10	Yes	Regular	Quarter
$0.3500	2008-01-30	2008-02-07	2008-02-11	2008-03-10	Yes	Regular	Quarter
$0.3500	2007-10-31	2007-11-07	2007-11-09	2007-12-10	Yes	Regular	Quarter
$0.3500	2007-07-25	2007-08-09	2007-08-13	2007-09-10	Yes	Regular	Quarter
$0.3500	2007-04-25	2007-05-10	2007-05-14	2007-06-11	Yes	Regular	Quarter
$0.3200	2007-01-31	2007-02-07	2007-02-09	2007-03-09	Yes	Regular	Quarter
$0.3200	2006-10-25	2006-11-09	2006-11-13	2006-12-11	Yes	Regular	Quarter
$0.3200	2006-07-26	2006-08-10	2006-08-14	2006-09-11	Yes	Regular	Quarter
$0.3200	2006-04-26	2006-05-10	2006-05-12	2006-06-09	Yes	Regular	Quarter
$0.3200	2006-01-25	2006-02-08	2006-02-10	2006-03-10	Yes	Regular	Quarter
$0.2900	2005-10-26	2005-11-08	2005-11-10	2005-12-09	Yes	Regular	Quarter
$0.2900	2005-07-27	2005-08-10	2005-08-12	2005-09-09	Yes	Regular	Quarter
$0.2900	2005-04-27	2005-05-11	2005-05-13	2005-06-10	Yes	Regular	Quarter
$0.2700	2005-01-26	2005-02-08	2005-02-10	2005-03-10	Yes	Regular	Quarter
$0.2700	2004-10-27	2004-11-09	2004-11-12	2004-12-10	Yes	Regular	Quarter
$0.2700	2004-07-28	2004-08-11	2004-08-13	2004-09-10	Yes	Regular	Quarter
$0.2700	2004-04-28	2004-05-11	2004-05-13	2004-06-10	Yes	Regular	Quarter
$0.2500	2004-01-28	2004-02-09	2004-02-11	2004-03-10	Yes	Regular	Quarter
$0.2500	2003-10-29	2003-11-07	2003-11-12	2003-12-10	Yes	Regular	Quarter
$0.2500	2003-07-30	2003-08-11	2003-08-13	2003-09-10	Yes	Regular	Quarter
$0.2500	2003-04-30	2003-05-09	2003-05-13	2003-06-10	Yes	Regular	Quarter
$0.2300	2003-01-29	2003-02-06	2003-02-10	2003-03-10	Yes	Regular	Quarter
$0.2300	2002-10-30	2002-11-07	2002-11-12	2002-12-10	Unknown	Regular	Quarter
$0.2300	2002-07-31	2002-08-09	2002-08-13	2002-09-10	Unknown	Regular	Quarter
$0.2300	2002-04-24	2002-05-09	2002-05-13	2002-06-10	Unknown	Regular	Quarter
$0.2300	2002-01-30	2002-02-07	2002-02-11	2002-03-11	Unknown	Regular	Quarter
$0.2300	2001-10-31	2001-11-07	2001-11-09	2001-12-10	Unknown	Regular	Quarter
$0.2300	2001-07-25	2001-08-09	2001-08-13	2001-09-10	Unknown	Regular	Quarter
