Date,Dividends
2015-08-10,0.960000
2015-05-11,0.938000
2015-02-10,0.915000
2014-11-07,0.893000
2014-08-08,0.870000
2014-05-09,0.848000
2014-02-10,0.828000
2013-11-07,0.807000
2013-08-08,0.785000
2013-05-09,0.762000
2013-02-08,0.740000
2012-11-07,0.720000
2012-08-08,0.698000
2012-05-09,0.668000
2012-02-08,0.638000
2011-11-08,0.610000
2011-08-10,0.583000
2011-05-11,0.555000
2011-02-09,0.528000
2010-11-09,0.500000
2010-08-10,0.483000
2010-05-11,0.465000
2010-02-10,0.453000
2009-11-09,0.440000
2009-08-10,0.428000
2009-05-11,0.415000
2009-02-10,0.403000
2008-11-07,0.390000
2008-08-08,0.353000
2008-05-09,0.288000
2008-02-08,0.288000
2007-11-07,0.265000
2007-08-08,0.265000
2007-05-09,0.250000
2007-02-07,0.250000
2006-11-07,0.215000
2006-08-09,0.215000
