Date,Dividends
2015-07-23,0.740000
2015-04-23,0.890000
2015-02-05,0.780000
2014-10-23,0.440000
2014-07-24,0.550000
2014-04-24,0.350000
2014-02-06,0.580000
2013-10-24,0.230000
2013-07-25,0.230000
2013-04-25,0.300000
2013-02-07,0.420000
2012-11-13,0.100000
2012-08-13,0.100000
2012-05-11,0.100000
2012-03-13,0.220000
2011-11-10,0.100000
2011-08-11,0.100000
2011-05-12,0.200000
2011-03-11,0.320000
2010-11-10,0.100000
2010-08-11,0.100000
2010-05-12,0.100000
2010-03-11,0.300000
2009-11-25,0.300000
2009-08-27,0.300000
2009-05-27,0.300000
2008-11-25,0.300000
2008-08-27,0.300000
2008-05-28,0.300000
2008-03-27,0.300000
2007-11-28,0.300000
