Date,Dividends
2015-07-23,0.740000
2015-05-20,0.730000
2015-02-12,0.730000
2014-10-09,0.730000
2014-07-17,0.730000
2014-05-21,0.690000
2014-02-13,0.690000
2013-10-10,0.690000
2013-07-18,0.690000
2013-05-22,0.660000
2013-02-14,0.660000
2012-10-11,0.660000
2012-07-19,0.660000
2012-05-17,0.660000
2012-05-01,0.000000
2012-02-16,0.503130
2011-10-13,0.503130
2011-07-21,0.503130
2011-05-19,0.503130
2011-02-17,0.503130
2010-10-27,0.419270
2010-07-29,0.419270
2010-05-20,0.419270
2010-02-18,0.381160
2009-10-28,0.381160
2009-07-29,0.358290
2009-05-21,0.358290
2009-02-19,0.358290
2008-10-29,0.358290
2008-07-29,0.358290
2008-05-22,0.358290
2008-02-21,0.358290
2007-10-29,0.312550
2007-07-27,0.312550
2007-05-17,0.312550
2007-02-15,0.312550
2006-10-27,0.274430
2006-07-27,0.274430
2006-05-18,0.274430
2006-02-16,0.274430
2005-10-27,0.236320
2005-07-27,0.236320
2005-05-12,0.236320
2005-02-11,0.190580
2004-10-27,0.190580
2004-07-28,0.163900
2004-05-13,0.163900
2004-02-18,0.163900
2003-10-29,0.163900
2003-07-29,0.152460
2003-04-28,0.152460
2003-02-18,0.152460
2002-10-31,0.152460
2002-08-07,0.137220
2002-04-26,0.137220
2002-02-19,0.137220
2001-10-29,0.137220
2001-07-26,0.137220
2001-04-26,0.129590
2001-02-16,0.129590
2000-10-26,0.129590
2000-07-27,0.129590
2000-04-27,0.129590
2000-02-16,0.129590
1999-10-28,0.129590
1999-07-29,0.129590
1999-04-29,0.129590
1999-02-10,0.129590
1998-10-29,0.129590
1998-07-30,0.129590
1998-04-29,0.129590
1998-01-29,0.129590
1997-10-30,0.129590
1997-07-30,0.129590
1997-04-30,0.129590
1997-01-30,0.121970
1996-10-30,0.121970
1996-07-31,0.121970
1996-05-01,0.116250
1996-01-31,0.116250
1995-11-01,0.116250
1995-08-02,0.116250
1995-05-01,0.116250
1995-01-30,0.106720
1994-10-31,0.106720
1994-08-01,0.106720
1994-05-02,0.106720
1994-01-31,0.106720
1993-11-01,0.106720
1993-08-02,0.106720
1993-05-03,0.106720
1993-02-01,0.106720
1992-11-02,0.106720
1992-08-03,0.106720
1992-05-04,0.106720
1992-02-03,0.106720
1991-11-04,0.106720
1991-08-05,0.106720
1991-04-29,0.106720
1991-02-04,0.106720
1990-10-29,0.106720
1990-07-30,0.095290
1990-04-30,0.095290
1990-01-25,0.095290
