Date,Dividends
2015-08-17,1.070000
2015-05-15,1.070000
2015-02-12,1.070000
2014-11-14,1.070000
2014-08-15,1.070000
2014-05-15,1.070000
2014-02-12,1.000000
2013-11-14,1.000000
2013-08-15,1.000000
2013-05-15,1.000000
2013-02-13,0.900000
2012-11-14,0.900000
2012-08-15,0.900000
2012-05-16,0.900000
2012-02-15,0.810000
2011-11-16,0.810000
2011-08-17,0.780000
2011-05-17,0.780000
2011-02-14,0.720000
2010-11-16,0.720000
2010-08-17,0.720000
2010-05-17,0.720000
2010-02-12,0.680000
2009-11-16,0.680000
2009-08-17,0.680000
2009-05-15,0.650000
2009-02-12,0.650000
2008-11-14,0.650000
2008-08-15,0.650000
2008-05-15,0.650000
2008-02-13,0.580000
2007-11-14,0.580000
2007-08-15,0.580000
2007-05-16,0.580000
2007-02-14,0.520000
2006-11-15,0.520000
2006-08-16,0.520000
2006-05-17,0.520000
2006-02-14,0.450000
2005-11-16,0.450000
2005-08-17,0.450000
2005-05-17,0.450000
2005-02-14,0.400000
2004-11-16,0.400000
2004-08-17,0.400000
2004-05-17,0.365000
2004-02-13,0.365000
2003-11-14,0.365000
2003-08-15,0.365000
2003-05-15,0.350000
2003-02-12,0.350000
2002-11-14,0.350000
2002-08-15,0.350000
2002-05-15,0.350000
2002-02-13,0.350000
2001-11-14,0.350000
2001-08-15,0.325000
2001-05-16,0.325000
2001-02-14,0.325000
2000-11-15,0.325000
2000-08-16,0.325000
2000-05-17,0.325000
2000-02-16,0.325000
1999-11-17,0.325000
1999-08-18,0.305000
1999-05-18,0.305000
1999-02-17,0.305000
1998-11-18,0.305000
1998-08-18,0.305000
1998-05-18,0.305000
1998-02-18,0.305000
1997-11-18,0.290000
1997-08-18,0.290000
1997-05-16,0.290000
1997-02-18,0.270000
1996-11-12,0.270000
1996-08-13,0.270000
1996-05-14,0.250000
1996-02-13,0.250000
1995-11-15,0.250000
1995-08-15,0.250000
1995-05-11,0.231000
1995-02-10,0.231000
1994-11-04,0.231000
1994-08-04,0.231000
1994-05-05,0.231250
1994-02-04,0.231250
1993-11-04,0.218750
1993-08-03,0.218750
1993-05-04,0.218750
1993-02-04,0.218750
1992-11-03,0.206250
1992-08-04,0.206250
1992-05-05,0.206250
1992-02-04,0.206250
1991-11-05,0.206250
1991-08-06,0.206250
1991-04-30,0.206250
1991-02-05,0.193750
1990-11-06,0.193750
1990-07-31,0.193750
1990-05-01,0.175000
1990-02-07,0.175000
