Date,Dividends
2015-07-01,0.660000
2014-12-11,1.150000
2013-12-12,0.860000
2012-12-06,0.750000
2011-12-14,0.600000
2010-12-09,0.400000
2009-12-10,0.350000
2008-12-11,0.350000
2007-12-05,0.350000
2007-06-13,0.470000
2006-12-13,0.305720
2005-12-08,0.266270
2004-12-08,0.236690
2003-12-10,0.207100
2002-12-11,0.207100
2001-12-05,0.207100
2000-12-06,0.207100
1999-11-12,0.207100
1999-10-07,0.052270
1998-10-07,0.051280
1998-07-22,0.051280
1998-04-07,0.051940
1998-01-07,0.043390
1997-10-15,0.043390
1997-07-09,0.043390
1997-04-09,0.043390
1997-01-08,0.036160
1996-10-09,0.036160
1996-07-10,0.036160
1996-04-10,0.036160
1995-12-29,0.029590
1995-10-11,0.029590
1995-07-06,0.029590
1995-04-07,0.029590
1995-01-03,0.024650
1994-10-07,0.024650
1994-07-05,0.024650
1994-04-11,0.024650
1994-01-04,0.020380
1993-10-06,0.020380
1993-07-02,0.020380
1993-04-05,0.020380
1993-01-05,0.017090
1992-10-05,0.017090
1992-07-06,0.017090
1992-04-06,0.017260
1992-01-06,0.014380
1991-10-07,0.014380
1991-07-08,0.014380
1991-04-08,0.014380
1991-01-14,0.011920
1990-10-05,0.011920
1990-07-09,0.011920
1990-04-06,0.011920
1990-01-08,0.009860
