Date,Dividends
2015-08-06,0.565000
2015-05-07,0.565000
2015-02-05,0.565000
2014-11-06,0.545000
2014-08-07,0.545000
2014-05-08,0.545000
2014-02-06,0.545000
2013-10-31,0.525000
2013-08-01,0.525000
2013-05-02,0.525000
2013-01-31,0.525000
2012-11-01,0.500000
2012-08-02,0.500000
2012-05-03,0.500000
2012-02-02,0.500000
2011-11-03,0.480000
2011-08-04,0.480000
2011-05-05,0.480000
2011-02-08,0.480000
2010-11-04,0.465000
2010-08-05,0.465000
2010-04-29,0.465000
2010-02-09,0.465000
2009-11-05,0.460000
2009-08-04,0.460000
2009-05-01,0.460000
2009-02-05,0.460000
2008-11-06,0.455000
2008-08-07,0.455000
2008-05-01,0.455000
2008-02-05,0.455000
2007-11-01,0.445000
2007-08-02,0.445000
2007-05-03,0.445000
2007-02-01,0.445000
2006-11-01,0.425000
2006-08-03,0.425000
2006-05-04,0.425000
2006-02-09,0.425000
2005-11-03,0.420000
2005-08-04,0.420000
2005-05-03,0.420000
2005-02-03,0.420000
2004-11-04,0.418000
2004-08-02,0.418000
2004-05-04,0.418000
2004-02-02,0.417500
2003-10-31,0.415000
2003-07-31,0.415000
2003-05-01,0.415000
2003-02-04,0.415000
2002-11-06,0.415000
2002-08-01,0.410000
2002-05-02,0.405000
2002-01-31,0.400000
2001-10-31,0.395000
2001-08-01,0.390000
2001-05-01,0.385000
2001-02-01,0.380000
2000-11-01,0.375000
2000-08-01,0.370000
2000-05-01,0.365000
2000-02-01,0.360000
1999-10-19,0.355000
1999-07-29,0.350000
1999-04-29,0.345000
1999-02-01,0.340000
1998-10-30,0.335000
1998-07-30,0.330000
1998-04-30,0.325000
1998-02-05,0.320000
1997-10-30,0.315000
1997-07-31,0.310000
1997-04-30,0.305000
1997-01-30,0.300000
1996-10-31,0.295000
1996-07-31,0.290000
1996-05-01,0.285000
1996-02-01,0.280000
1995-11-01,0.275000
1995-08-01,0.270000
1995-04-27,0.265000
1995-01-17,0.260000
1994-11-02,0.255000
1994-07-28,0.250000
1994-04-28,0.245000
1994-01-28,0.240000
1993-10-28,0.236000
1993-07-28,0.232500
1993-04-27,0.228500
1993-01-28,0.225000
1992-10-28,0.221000
1992-07-28,0.217500
1992-04-28,0.213750
1992-01-21,0.210000
1991-10-28,0.206750
1991-07-30,0.203750
1991-04-29,0.200500
1991-01-30,0.197500
1990-10-29,0.194250
1990-07-30,0.191250
1990-04-30,0.188000
1990-01-30,0.185000
