Date,Dividends
2015-08-11,1.110000
2015-05-12,1.070000
2015-02-26,1.020000
2014-11-06,0.980000
2014-08-07,0.950000
2014-05-08,0.938000
2014-02-27,0.913000
2013-11-06,0.875000
2013-08-08,0.875000
2013-05-09,0.688000
2012-12-20,0.688000
2012-11-07,0.688000
2012-08-09,0.625000
2012-05-10,0.200000
2012-03-01,0.200000
2011-11-09,0.200000
2011-08-11,0.200000
2011-05-09,0.200000
2008-12-01,0.200000
2008-09-02,0.645000
2008-06-02,0.645000
2008-03-03,0.635000
2007-12-03,0.620000
2007-09-04,0.605000
2007-06-01,0.590000
2007-04-02,0.570000
2006-12-01,0.550000
2006-09-01,0.525000
2006-06-01,0.500000
2006-04-03,0.500000
2005-12-02,0.500000
2005-09-01,0.500000
2005-05-31,0.500000
