Date,Dividends
2015-07-29,0.550000
2015-04-28,0.180000
2015-03-27,0.360000
2015-01-29,0.530000
2014-10-29,0.520000
2014-07-29,0.510000
2014-04-28,0.500000
2014-01-29,0.490000
2013-10-29,0.480000
2013-07-29,0.470000
2013-04-26,0.460000
2013-01-29,0.450000
2012-10-31,0.440000
2012-07-27,0.420000
2012-04-26,0.420000
2012-01-27,0.410000
2011-10-27,0.400000
2011-07-28,0.400000
2011-04-27,0.380000
2011-01-27,0.370000
2010-10-27,0.370000
2010-07-28,0.360000
2010-04-28,0.320000
2010-01-27,0.320000
2009-10-29,0.300000
2009-07-29,0.300000
2009-04-28,0.300000
2009-01-28,0.300000
2008-10-29,0.300000
2008-07-29,0.300000
2008-04-28,0.300000
2008-01-29,0.290000
2007-10-29,0.280000
2007-07-27,0.270000
2007-04-26,0.270000
2007-01-29,0.260000
2006-11-01,0.250000
2006-07-27,0.240000
2006-04-26,0.240000
2006-01-27,0.230000
2005-10-27,0.220000
2005-07-27,0.220000
2005-04-28,0.210000
2005-01-27,0.200000
2004-10-27,0.190000
2004-07-28,0.180000
2004-04-28,0.180000
2004-01-29,0.170000
2003-10-29,0.150000
2000-10-27,0.250000
2000-08-03,0.250000
2000-01-26,0.500000
1999-10-27,0.700000
1999-07-28,0.700000
1999-04-28,0.700000
1999-01-27,0.700000
1998-10-28,0.670000
1998-07-29,0.670000
1998-04-28,0.670000
1998-04-09,2.313000
1998-01-28,0.670000
1997-10-29,0.645000
1997-07-31,0.645000
1997-04-30,0.645000
1997-01-30,0.645000
1996-10-31,0.620000
1996-07-31,0.620000
1996-04-30,0.620000
1996-01-31,0.620000
1995-10-31,0.590000
1995-07-31,0.590000
1995-04-26,0.590000
1995-01-27,0.590000
1994-10-27,0.580000
1994-07-27,0.540000
1994-04-26,0.540000
1994-01-27,0.540000
1993-10-27,0.540000
1993-07-27,0.500000
1993-04-27,0.500000
1993-01-27,0.500000
1992-10-27,0.260000
