Date,Dividends
2015-08-27,0.550000
2015-05-27,0.550000
2015-02-25,0.550000
2014-11-28,0.500000
2014-08-27,0.500000
2014-06-12,0.455000
2014-02-26,0.455000
2013-11-29,0.395000
2013-08-28,0.395000
2013-05-29,0.345000
2013-02-26,0.345000
2012-11-28,0.345000
2012-08-29,0.300000
2012-05-29,0.300000
2012-02-27,0.300000
2011-11-28,0.300000
2011-08-29,0.237500
2011-05-26,0.237500
2011-02-24,0.190000
2010-11-26,0.190000
2010-08-27,0.165000
2010-05-26,0.165000
2010-02-24,0.135000
2009-11-25,0.135000
2009-08-27,0.135000
2009-05-27,0.135000
2009-02-25,0.135000
2008-11-26,0.135000
2008-08-27,0.135000
2008-06-04,0.110000
2008-03-10,0.110000
2007-11-27,0.110000
2007-08-28,0.087500
2007-05-25,0.087500
2007-02-26,0.087500
2006-11-28,0.075000
2006-08-29,0.075000
2006-05-26,0.075000
2006-03-06,0.075000
2005-12-12,0.075000
2005-09-12,0.075000
2005-06-06,0.075000
2005-03-07,0.075000
2004-12-06,0.075000
2004-09-03,0.075000
2004-06-07,0.075000
2004-03-08,0.075000
2003-12-08,0.075000
2003-09-08,0.057500
2003-06-09,0.057500
2003-03-10,0.057500
2002-12-09,0.057500
2002-09-09,0.050000
2002-06-10,0.050000
2002-03-11,0.050000
2001-12-10,0.050000
2001-09-10,0.050000
2001-06-11,0.050000
2001-03-12,0.050000
2000-12-11,0.050000
2000-09-11,0.050000
2000-06-12,0.050000
2000-03-13,0.050000
1999-12-06,0.050000
1999-09-03,0.050000
1999-06-07,0.050000
1999-03-08,0.050000
1998-12-07,0.050000
1998-09-04,0.050000
1998-06-08,0.050000
1998-03-09,0.050000
1997-12-08,0.107500
1997-09-08,0.107500
1997-06-09,0.107500
1997-03-10,0.107500
1996-12-16,0.107500
1996-10-16,0.000000
1996-09-06,0.072290
1996-06-10,0.072290
1996-03-11,0.072290
1995-12-20,0.072290
1995-09-11,0.072290
1995-06-12,0.072290
1995-03-09,0.072290
1994-12-08,0.072290
1994-09-08,0.072290
1994-06-09,0.067240
1994-03-10,0.067240
1993-12-02,0.067240
1993-09-01,0.067240
1993-06-03,0.062200
1993-03-04,0.062200
1992-12-03,0.062200
1992-09-02,0.062200
1992-06-04,0.057160
1992-03-05,0.057160
1991-09-10,0.057160
1991-06-06,0.052530
1991-03-07,0.052530
1990-12-06,0.052530
1990-08-29,0.048750
1990-06-07,0.048750
1990-03-01,0.048750
