Date,Dividends
2015-07-08,0.550000
2015-04-08,0.550000
2015-01-07,0.550000
2014-10-08,0.550000
2014-07-08,0.530000
2014-04-08,0.530000
2014-01-08,0.530000
2013-10-08,0.530000
2013-07-08,0.515000
2013-04-08,0.515000
2013-01-08,0.515000
2012-10-05,0.515000
2012-07-06,0.500000
2012-04-05,0.500000
2012-01-06,0.500000
2011-10-05,0.500000
2011-07-06,0.488000
2011-04-06,0.488000
2011-01-06,0.488000
2010-10-06,0.488000
2010-07-07,0.475000
2010-04-07,0.445500
2010-01-06,0.445500
2009-10-07,0.445500
2009-07-08,0.431430
2009-04-07,0.431430
2009-01-07,0.431430
2008-10-08,0.431430
2008-07-08,0.403290
2008-04-08,0.403290
2008-04-01,0.000000
2008-01-08,0.401430
2007-10-05,0.401430
2007-07-06,0.378090
2007-04-05,0.378090
2007-01-08,0.378090
2006-11-20,0.000000
2006-10-05,0.364230
2006-07-06,0.364230
2006-04-06,0.364230
2006-01-06,0.364230
2005-10-05,0.364230
2005-07-06,0.364230
2005-04-06,0.364230
2005-01-06,0.346240
2004-10-06,0.346240
2004-07-07,0.346240
2004-04-06,0.346240
2004-01-07,0.346240
2003-10-08,0.346240
2003-07-08,0.346240
2003-04-08,0.346240
2003-01-08,0.346240
2002-10-08,0.346240
2002-07-08,0.346240
2002-04-08,0.346240
2002-01-08,0.346240
2001-10-05,0.346240
2001-07-06,0.346240
2001-04-06,0.346240
2001-01-08,0.346240
2000-10-05,0.346240
2000-07-06,0.042270
2000-07-03,0.346240
2000-04-06,0.346240
2000-01-06,0.346240
1999-10-06,0.346240
1999-07-07,0.347140
1999-04-07,0.346240
1999-01-06,0.346240
1998-10-07,0.346240
1998-07-08,0.346240
1998-04-07,0.346240
1998-01-07,0.346240
1997-10-08,0.346240
1997-04-08,0.332750
1997-01-08,0.323760
1996-10-08,0.323760
1996-07-08,0.323760
1996-04-08,0.323760
1996-01-08,0.314760
1995-10-05,0.314760
1995-07-06,0.314760
1995-04-04,0.314760
1995-01-04,0.310270
1994-10-04,0.310270
1994-07-05,0.310270
1994-04-05,0.310270
1994-01-04,0.301270
1993-07-02,0.301270
1993-04-02,0.301270
1993-01-05,0.292280
1992-10-05,0.292280
1992-07-06,0.292280
1992-04-06,0.292280
1992-01-06,0.283290
1991-10-04,0.283290
1991-07-03,0.283290
1991-04-04,0.283290
1991-01-04,0.265300
1990-10-03,0.265300
1990-07-03,0.265300
1990-04-04,0.265300
1990-01-04,0.247310
