Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.7400	2015-07-16	2015-07-23	2015-07-27	2015-08-03	Non-Qualified	Regular	Quarter
$0.8900	2015-04-16	2015-04-23	2015-04-27	2015-05-04	Non-Qualified	Regular	Quarter
$0.7800	2015-01-29	2015-02-05	2015-02-09	2015-02-17	Non-Qualified	Regular	Quarter
$0.4400	2014-10-16	2014-10-23	2014-10-27	2014-11-03	Non-Qualified	Regular	Quarter
$0.5500	2014-07-17	2014-07-24	2014-07-28	2014-08-04	Non-Qualified	Regular	Quarter
$0.3500	2014-04-17	2014-04-24	2014-04-28	2014-05-05	Non-Qualified	Regular	Quarter
$0.5800	2014-01-30	2014-02-06	2014-02-10	2014-02-18	Non-Qualified	Regular	Quarter
$0.2300	2013-10-17	2013-10-24	2013-10-28	2013-11-04	Non-Qualified	Regular	Quarter
$0.2300	2013-07-18	2013-07-25	2013-07-29	2013-08-05	Non-Qualified	Regular	Quarter
$0.3000	2013-04-18	2013-04-25	2013-04-29	2013-05-06	Non-Qualified	Regular	Quarter
$0.4200	2013-01-31	2013-02-07	2013-02-11	2013-02-19	Non-Qualified	Regular	Quarter
$0.1000	2012-10-18	2012-11-13	2012-11-15	2012-11-30	Non-Qualified	Regular	Quarter
$0.1000	2012-07-19	2012-08-13	2012-08-15	2012-08-31	Non-Qualified	Regular	Quarter
$0.1000	2012-04-19	2012-05-11	2012-05-15	2012-05-31	Non-Qualified	Regular	Quarter
$0.2200	2012-02-02	2012-03-13	2012-03-15	2012-03-30	Non-Qualified	Regular	Quarter
$0.1000	2011-10-20	2011-11-10	2011-11-15	2011-11-30	Non-Qualified	Regular	Quarter
$0.1000	2011-07-21	2011-08-11	2011-08-15	2011-08-31	Non-Qualified	Regular	Quarter
$0.1000	2011-04-21	2011-05-12	2011-05-16	2011-05-31	Non-Qualified	Regular	Quarter
$0.3200	2011-02-03	2011-03-11	2011-03-15	2011-03-31	Non-Qualified	Regular	Quarter
$0.1000	2010-10-28	2010-11-10	2010-11-15	2010-11-30	Non-Qualified	Regular	Quarter
$0.1000	2010-07-22	2010-08-11	2010-08-13	2010-08-31	Non-Qualified	Regular	Quarter
$0.1000	2010-04-22	2010-05-12	2010-05-14	2010-05-31	Non-Qualified	Regular	Quarter
$0.3000	2010-02-22	2010-03-11	2010-03-15	2010-03-31	Non-Qualified	Regular	Quarter
$0.3000	2009-11-06	2009-11-25	2009-11-30	2009-12-11	Non-Qualified	Regular	Quarter
$0.3000	2009-08-06	2009-08-27	2009-08-31	2009-09-11	Non-Qualified	Regular	Quarter
$0.3000	2009-05-06	2009-05-27	2009-05-29	2009-06-12	Non-Qualified	Regular	Quarter
$0.3000	2008-11-06	2008-11-25	2008-11-28	2008-12-12	Non-Qualified	Regular	Quarter
$0.3000	2008-08-06	2008-08-27	2008-08-29	2008-09-12	Non-Qualified	Regular	Quarter
$0.3000	2008-05-15	2008-05-28	2008-05-30	2008-06-13	Non-Qualified	Regular	Quarter
$0.3000	2008-03-10	2008-03-27	2008-03-31	2008-04-11	Non-Qualified	Regular	Quarter
$0.3000	2007-11-12	2007-11-28	2007-11-30	2007-12-14	Non-Qualified	Unknown	unknown
