Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$1.0700	2015-07-29	2015-08-17	2015-08-19	2015-09-10	Yes	Regular	Quarter
$1.0700	2015-04-29	2015-05-15	2015-05-19	2015-06-10	Yes	Regular	Quarter
$1.0700	2015-01-28	2015-02-12	2015-02-17	2015-03-10	Yes	Regular	Quarter
$1.0700	2014-10-29	2014-11-14	2014-11-18	2014-12-10	Yes	Regular	Quarter
$1.0700	2014-07-30	2014-08-15	2014-08-19	2014-09-10	Yes	Regular	Quarter
$1.0700	2014-04-30	2014-05-15	2014-05-19	2014-06-10	Yes	Regular	Quarter
$1.0000	2014-01-29	2014-02-12	2014-02-14	2014-03-10	Yes	Regular	Quarter
$1.0000	2013-10-30	2013-11-14	2013-11-18	2013-12-10	Yes	Regular	Quarter
$1.0000	2013-07-31	2013-08-15	2013-08-19	2013-09-10	Yes	Regular	Quarter
$1.0000	2013-04-24	2013-05-15	2013-05-17	2013-06-10	Yes	Regular	Quarter
$0.9000	2013-01-30	2013-02-13	2013-02-15	2013-03-11	Yes	Regular	Quarter
$0.9000	2012-10-31	2012-11-14	2012-11-16	2012-12-10	Yes	Regular	Quarter
$0.9000	2012-07-25	2012-08-15	2012-08-17	2012-09-10	Yes	Regular	Quarter
$0.9000	2012-04-25	2012-05-16	2012-05-18	2012-06-11	Yes	Regular	Quarter
$0.8100	2012-01-25	2012-02-15	2012-02-17	2012-03-12	Yes	Regular	Quarter
$0.8100	2011-10-26	2011-11-16	2011-11-18	2011-12-12	Yes	Regular	Quarter
$0.7800	2011-07-27	2011-08-17	2011-08-19	2011-09-12	Yes	Regular	Quarter
$0.7800	2011-04-26	2011-05-17	2011-05-19	2011-06-10	Yes	Regular	Quarter
$0.7200	2011-01-26	2011-02-14	2011-02-16	2011-03-10	Yes	Regular	Quarter
$0.7200	2010-10-27	2010-11-16	2010-11-18	2010-12-10	Yes	Regular	Quarter
$0.7200	2010-07-28	2010-08-17	2010-08-19	2010-09-10	Yes	Regular	Quarter
$0.7200	2010-04-28	2010-05-17	2010-05-19	2010-06-10	Yes	Regular	Quarter
$0.6800	2010-01-27	2010-02-12	2010-02-17	2010-03-10	Yes	Regular	Quarter
$0.6800	2009-10-28	2009-11-16	2009-11-18	2009-12-10	Yes	Regular	Quarter
$0.6800	2009-07-29	2009-08-17	2009-08-19	2009-09-10	Yes	Regular	Quarter
$0.6500	2009-04-29	2009-05-15	2009-05-19	2009-06-10	Yes	Regular	Quarter
$0.6500	2009-01-28	2009-02-12	2009-02-17	2009-03-10	Yes	Regular	Quarter
$0.6500	2008-10-29	2008-11-14	2008-11-18	2008-12-10	Yes	Regular	Quarter
$0.6500	2008-07-30	2008-08-15	2008-08-19	2008-09-10	Yes	Regular	Quarter
$0.6500	2008-04-30	2008-05-15	2008-05-19	2008-06-10	Yes	Regular	Quarter
$0.5800	2008-01-30	2008-02-13	2008-02-15	2008-03-10	Yes	Regular	Quarter
$0.5800	2007-10-31	2007-11-14	2007-11-16	2007-12-10	Yes	Regular	Quarter
$0.5800	2007-07-25	2007-08-15	2007-08-17	2007-09-10	Yes	Regular	Quarter
$0.5800	2007-04-25	2007-05-16	2007-05-18	2007-06-11	Yes	Regular	Quarter
$0.5200	2007-01-31	2007-02-14	2007-02-16	2007-03-12	Yes	Regular	Quarter
$0.5200	2006-10-25	2006-11-15	2006-11-17	2006-12-11	Yes	Regular	Quarter
$0.5200	2006-07-26	2006-08-16	2006-08-18	2006-09-11	Yes	Regular	Quarter
$0.5200	2006-04-26	2006-05-17	2006-05-19	2006-06-12	Yes	Regular	Quarter
$0.4500	2006-01-25	2006-02-14	2006-02-16	2006-03-10	Yes	Regular	Quarter
$0.4500	2005-10-26	2005-11-16	2005-11-18	2005-12-12	Yes	Regular	Quarter
$0.4500	2005-07-27	2005-08-17	2005-08-19	2005-09-12	Yes	Regular	Quarter
$0.4500	2005-04-27	2005-05-17	2005-05-19	2005-06-10	Yes	Regular	Quarter
$0.4000	2005-01-26	2005-02-14	2005-02-16	2005-03-10	Yes	Regular	Quarter
$0.4000	2004-10-27	2004-11-16	2004-11-18	2004-12-10	Yes	Regular	Quarter
2-for-1	2004-07-28	2004-09-13	2004-08-19	2004-09-10	NM	Stock Split	NM
$0.4000	2004-07-28	2004-08-17	2004-08-19	2004-09-10	Yes	Regular	Quarter
$0.3650	2004-04-28	2004-05-17	2004-05-19	2004-06-10	Yes	Regular	Quarter
$0.3650	2004-01-28	2004-02-13	2004-02-18	2004-03-10	Yes	Regular	Quarter
$0.3650	2003-10-29	2003-11-14	2003-11-18	2003-12-10	Yes	Regular	Quarter
$0.3650	2003-07-30	2003-08-15	2003-08-19	2003-09-10	Yes	Regular	Quarter
$0.3500	2003-04-30	2003-05-15	2003-05-19	2003-06-10	Yes	Regular	Quarter
$0.3500	2003-01-29	2003-02-12	2003-02-14	2003-03-10	Yes	Regular	Quarter
$0.3500	2002-10-30	2002-11-14	2002-11-18	2002-12-10	Unknown	Regular	Quarter
$0.3500	2002-07-31	2002-08-15	2002-08-19	2002-09-10	Unknown	Regular	Quarter
$0.3500	2002-04-24	2002-05-15	2002-05-17	2002-06-10	Unknown	Regular	Quarter
$0.3500	2002-01-30	2002-02-13	2002-02-15	2002-03-11	Unknown	Regular	Quarter
$0.3500	2001-10-31	2001-11-14	2001-11-16	2001-12-10	Unknown	Regular	Quarter
$0.3250	2001-07-25	2001-08-15	2001-08-17	2001-09-10	Unknown	Regular	Quarter
$0.3250	2001-04-25	2001-05-16	2001-05-18	2001-06-11	Unknown	Regular	Quarter
$0.3250	2001-01-31	2001-02-14	2001-02-16	2001-03-12	Unknown	Regular	Quarter
$0.3250	2000-10-25	2000-11-15	2000-11-17	2000-12-11	Unknown	Regular	Quarter
$0.3250	2000-07-26	2000-08-16	2000-08-18	2000-09-11	Unknown	Regular	Quarter
$0.3250	2000-04-26	2000-05-17	2000-05-19	2000-06-12	Unknown	Regular	Quarter
$0.3250	2000-01-26	2000-02-16	2000-02-18	2000-03-10	Unknown	Regular	Quarter
$0.3250	1999-10-27	1999-11-17	1999-11-19	1999-12-10	Unknown	Regular	Quarter
$0.3050	1999-07-28	1999-08-18	1999-08-20	1999-09-10	Unknown	Regular	Quarter
$0.3050	1999-04-28	1999-05-18	1999-05-20	1999-06-10	Unknown	Regular	Quarter
$0.3050	1999-01-27	1999-02-17	1999-02-19	1999-03-10	Unknown	Regular	Quarter
$0.3050	1998-10-28	1998-11-18	1998-11-20	1998-12-10	Unknown	Regular	Quarter
$0.3050	1998-07-29	1998-08-18	1998-08-20	1998-09-10	Unknown	Regular	Quarter
$0.3050	1998-04-29	1998-05-18	1998-05-20	1998-06-10	Unknown	Regular	Quarter
$0.3050	1998-01-28	1998-02-18	1998-02-20	1998-03-10	Unknown	Regular	Quarter
$0.2900	1997-10-29	1997-11-18	1997-11-20	1997-12-10	Unknown	Regular	Quarter
$0.2900	1997-07-30	1997-08-18	1997-08-20	1997-09-10	Unknown	Regular	Quarter
$0.2900	1997-04-30	1997-05-16	1997-05-20	1997-06-10	Unknown	Regular	Quarter
$0.2700	1997-01-29	1997-02-18	1997-02-20	1997-03-10	Unknown	Regular	Quarter
$0.2700	1996-10-30	1996-11-12	1996-11-14	1996-12-10	Unknown	Regular	Quarter
$0.2700	1996-07-31	1996-08-13	1996-08-15	1996-09-10	Unknown	Regular	Quarter
$0.2500	1996-04-24	1996-05-14	1996-05-16	1996-06-10	Unknown	Regular	Quarter
$0.2500	1996-01-31	1996-02-13	1996-02-15	1996-03-11	Unknown	Regular	Quarter
$0.2500	1995-10-25	1995-11-15	1995-11-17	1995-12-11	Unknown	Regular	Quarter
$0.2500	1995-07-26	1995-08-15	1995-08-17	1995-09-11	Unknown	Regular	Quarter
