Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.6600	2015-06-24	2015-07-01	2015-07-06	2015-07-29	Yes	Regular	Semi Annual
$1.1500	2014-12-03	2014-12-11	2014-12-15	2015-01-08	Yes	Regular	Annual
$0.8600	2013-12-04	2013-12-12	2013-12-16	2014-01-16	Yes	Regular	Annual
$0.7500	2012-11-28	2012-12-06	2012-12-10	2012-12-28	Yes	Regular	Annual
$0.6000	2011-11-30	2011-12-14	2011-12-16	2012-01-18	Yes	Regular	Annual
$0.4000	2010-12-01	2010-12-09	2010-12-13	2011-01-18	Yes	Regular	Annual
$0.3500	2009-12-02	2009-12-10	2009-12-14	2010-01-19	Yes	Regular	Annual
$0.3500	2008-12-03	2008-12-11	2008-12-15	2009-01-20	Yes	Regular	Annual
$0.3500	2007-11-28	2007-12-05	2007-12-07	2008-01-11	Yes	Regular	Annual
$0.3100	2006-11-28	2006-12-13	2006-12-15	2007-01-12	Yes	Regular	Annual
$0.2700	2005-12-02	2005-12-08	2005-12-12	2006-01-06	Yes	Regular	Annual
$0.2400	2004-12-01	2004-12-08	2004-12-10	2005-01-06	Yes	Regular	Annual
$0.2100	2003-12-02	2003-12-10	2003-12-12	2004-01-06	Yes	Regular	Annual
$0.2100	2002-12-03	2002-12-11	2002-12-13	2003-01-09	Yes	Regular	Annual
$0.2100	2001-11-27	2001-12-05	2001-12-07	2001-12-21	Unknown	Regular	Annual
$0.2100	2000-11-28	2000-12-06	2000-12-08	2000-12-22	Unknown	Regular	Annual
$0.2100	1999-11-04	1999-11-12	1999-11-16	1999-12-17	Unknown	Regular	Annual
$0.0525	1998-09-29	1998-10-07	1998-10-09	1998-11-20	Unknown	Regular	Annual
$0.0525	1998-06-24	1998-07-22	1998-07-24	1998-08-21	Unknown	Regular	Quarter
3-for-1	1998-06-09	1998-07-10	1998-06-19	1998-07-09	NM	Stock Split	NM
$0.0525	1998-01-30	1998-04-07	1998-04-10	1998-05-22	Unknown	Regular	Quarter
$0.0442	1997-11-24	1998-01-07	1998-01-09	1998-02-20	Unknown	Regular	Quarter
$0.0442	1997-09-22	1997-10-15	1997-10-17	1997-11-21	Unknown	Regular	Quarter
$0.0442	1997-06-23	1997-07-09	1997-07-11	1997-08-22	Unknown	Regular	Quarter
$0.0442	1997-01-27	1997-04-09	1997-04-11	1997-05-16	Unknown	Regular	Quarter
$0.0367	1996-11-25	1997-01-08	1997-01-10	1997-02-21	Unknown	Regular	Quarter
$0.0367	1996-09-30	1996-10-09	1996-10-11	1996-11-22	Unknown	Regular	Quarter
$0.0367	1996-06-24	1996-07-10	1996-07-12	1996-08-16	Unknown	Regular	Quarter
$0.0367	1996-01-22	1996-04-10	1996-04-12	1996-05-17	Unknown	Regular	Quarter
$0.0300	1995-11-27	1995-12-29	1996-01-03	1996-02-16	Unknown	Regular	Quarter
$0.0300	1995-09-26	1995-10-11	1995-10-13	1995-11-17	Unknown	Regular	Quarter
$0.0300	1995-06-26	1995-07-06	1995-07-10	1995-08-18	Unknown	Regular	Quarter
$0.0300	1995-01-23	1995-04-07	1995-04-14	1995-05-19	Unknown	Regular	Quarter
$0.0250	1994-11-21	1995-01-03	1995-01-09	1995-02-17	Unknown	Regular	Quarter
$0.0250	1994-09-26	1994-10-07	1994-10-14	1994-11-18	Unknown	Regular	Quarter
$0.0250	1994-06-28	1994-07-05	1994-07-11	1994-08-19	Unknown	Regular	Quarter
$0.0250	1994-01-24	1994-04-11	1994-04-15	1994-05-20	Unknown	Regular	Quarter
$0.0208	1993-11-22	1994-01-04	1994-01-10	1994-02-18	Unknown	Regular	Quarter
$0.0208	1993-09-27	1993-10-06	1993-10-13	1993-11-19	Unknown	Regular	Quarter
$0.0208	1993-06-28	1993-07-02	1993-07-09	1993-08-20	Unknown	Regular	Quarter
$0.0208	1993-01-25	1993-04-05	1993-04-12	1993-05-20	Unknown	Regular	Quarter
$0.0175		1993-01-05	1993-01-11	1993-02-19	Unknown	Regular	Quarter
