Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.5650	2015-07-30	2015-08-06	2015-08-10	2015-08-25	Non-Qualified	Regular	Quarter
$0.5650	2015-04-30	2015-05-07	2015-05-11	2015-05-26	Non-Qualified	Regular	Quarter
$0.5650	2015-01-29	2015-02-05	2015-02-09	2015-02-24	Non-Qualified	Regular	Quarter
$0.5450	2014-10-30	2014-11-06	2014-11-10	2014-11-25	Non-Qualified	Regular	Quarter
$0.5450	2014-07-31	2014-08-07	2014-08-11	2014-08-26	Non-Qualified	Regular	Quarter
$0.5450	2014-05-01	2014-05-08	2014-05-12	2014-05-27	Non-Qualified	Regular	Quarter
$0.5450	2014-01-30	2014-02-06	2014-02-10	2014-02-25	Non-Qualified	Regular	Quarter
$0.5250	2013-10-24	2013-10-31	2013-11-04	2013-11-19	Non-Qualified	Regular	Quarter
$0.5250	2013-07-25	2013-08-01	2013-08-05	2013-08-20	Non-Qualified	Regular	Quarter
$0.5250	2013-04-25	2013-05-02	2013-05-06	2013-05-21	Non-Qualified	Regular	Quarter
$0.5250	2013-01-25	2013-01-31	2013-02-04	2013-02-19	Non-Qualified	Regular	Quarter
$0.5000	2012-10-25	2012-11-01	2012-11-05	2012-11-20	Non-Qualified	Regular	Quarter
$0.5000	2012-07-26	2012-08-02	2012-08-06	2012-08-21	Non-Qualified	Regular	Quarter
$0.5000	2012-04-26	2012-05-03	2012-05-07	2012-05-22	Non-Qualified	Regular	Quarter
$0.5000	2012-01-26	2012-02-02	2012-02-06	2012-02-22	Non-Qualified	Regular	Quarter
$0.4800	2011-10-27	2011-11-03	2011-11-07	2011-11-22	Non-Qualified	Regular	Quarter
$0.4800	2011-07-28	2011-08-04	2011-08-08	2011-08-23	Non-Qualified	Regular	Quarter
$0.4800	2011-04-28	2011-05-05	2011-05-09	2011-05-24	Non-Qualified	Regular	Quarter
$0.4800	2011-01-27	2011-02-08	2011-02-10	2011-02-23	Non-Qualified	Regular	Quarter
$0.4650	2010-10-28	2010-11-04	2010-11-08	2010-11-23	Non-Qualified	Regular	Quarter
$0.4650	2010-07-29	2010-08-05	2010-08-09	2010-08-24	Non-Qualified	Regular	Quarter
$0.4650	2010-04-22	2010-04-29	2010-05-03	2010-05-18	Non-Qualified	Regular	Quarter
$0.4650	2010-02-01	2010-02-09	2010-02-11	2010-02-23	Non-Qualified	Regular	Quarter
$0.4600	2009-10-29	2009-11-05	2009-11-09	2009-11-24	Non-Qualified	Regular	Quarter
$0.4600	2009-07-29	2009-08-04	2009-08-06	2009-08-19	Non-Qualified	Regular	Quarter
$0.4600	2009-04-23	2009-05-01	2009-05-05	2009-05-21	Non-Qualified	Regular	Quarter
$0.4600	2009-02-02	2009-02-05	2009-02-09	2009-02-23	Non-Qualified	Regular	Quarter
$0.4550	2008-10-30	2008-11-06	2008-11-10	2008-11-21	Non-Qualified	Regular	Quarter
$0.4550	2008-07-31	2008-08-07	2008-08-11	2008-08-21	Non-Qualified	Regular	Quarter
$0.4550	2008-04-24	2008-05-01	2008-05-05	2008-05-19	Non-Qualified	Regular	Quarter
$0.4550	2008-01-28	2008-02-05	2008-02-07	2008-02-21	Non-Qualified	Regular	Quarter
$0.4450	2007-10-25	2007-11-01	2007-11-05	2007-11-19	Non-Qualified	Regular	Quarter
$0.4450	2007-07-26	2007-08-02	2007-08-06	2007-08-21	Non-Qualified	Regular	Quarter
$0.4450	2007-04-25	2007-05-03	2007-05-07	2007-05-18	Non-Qualified	Regular	Quarter
$0.4450	2007-01-29	2007-02-01	2007-02-05	2007-02-21	Non-Qualified	Regular	Quarter
$0.4250	2006-10-26	2006-11-01	2006-11-03	2006-11-21	Non-Qualified	Regular	Quarter
$0.4250	2006-07-27	2006-08-03	2006-08-07	2006-08-18	Non-Qualified	Regular	Quarter
$0.4250	2006-04-25	2006-05-04	2006-05-08	2006-05-19	Non-Qualified	Regular	Quarter
$0.4250	2006-02-06	2006-02-09	2006-02-13	2006-02-23	Non-Qualified	Regular	Quarter
$0.4200	2005-10-26	2005-11-03	2005-11-07	2005-11-18	Non-Qualified	Regular	Quarter
$0.4200	2005-07-27	2005-08-04	2005-08-08	2005-08-19	Non-Qualified	Regular	Quarter
$0.4200	2005-04-25	2005-05-03	2005-05-05	2005-05-19	Non-Qualified	Regular	Quarter
$0.4200	2005-01-31	2005-02-03	2005-02-07	2005-02-18	Non-Qualified	Regular	Quarter
$0.4175	2004-10-27	2004-11-04	2004-11-08	2004-11-19	Non-Qualified	Regular	Quarter
$0.4175	2004-07-23	2004-08-02	2004-08-04	2004-08-19	Non-Qualified	Regular	Quarter
$0.4175	2004-04-26	2004-05-04	2004-05-06	2004-05-21	Non-Qualified	Regular	Quarter
2-for-1	2004-01-22	2004-03-02	2004-02-04	2004-03-01	NM	Stock Split	NM
$0.4175	2004-01-22	2004-02-02	2004-02-04	2004-02-19	Unknown	Regular	Quarter
$0.4150	2003-10-23	2003-10-31	2003-11-04	2003-11-20	Non-Qualified	Regular	Quarter
$0.4150	2003-07-24	2003-07-31	2003-08-04	2003-08-20	Non-Qualified	Regular	Quarter
$0.4150	2003-04-23	2003-05-01	2003-05-05	2003-05-20	Non-Qualified	Regular	Quarter
$0.4150	2003-01-27	2003-02-04	2003-02-06	2003-02-20	Non-Qualified	Regular	Quarter
$0.4150	2002-10-29	2002-11-06	2002-11-08	2002-11-20	Unknown	Regular	Quarter
$0.4100	2002-07-25	2002-08-01	2002-08-05	2002-08-20	Unknown	Regular	Quarter
$0.4050	2002-04-26	2002-05-02	2002-05-06	2002-05-20	Unknown	Regular	Quarter
$0.4000	2002-01-23	2002-01-31	2002-02-04	2002-02-20	Unknown	Regular	Quarter
$0.3950	2001-10-22	2001-10-31	2001-11-02	2001-11-20	Unknown	Regular	Quarter
$0.3900	2001-07-23	2001-08-01	2001-08-03	2001-08-20	Unknown	Regular	Quarter
$0.3850	2001-04-23	2001-05-01	2001-05-03	2001-05-18	Unknown	Regular	Quarter
$0.3800	2001-01-25	2001-02-01	2001-02-05	2001-02-20	Unknown	Regular	Quarter
$0.3750	2000-10-19	2000-11-01	2000-11-03	2000-11-20	Unknown	Regular	Quarter
$0.3700	2000-07-20	2000-08-01	2000-08-03	2000-08-18	Unknown	Regular	Quarter
$0.3650	2000-04-20	2000-05-01	2000-05-03	2000-05-19	Unknown	Regular	Quarter
$0.3600	2000-01-19	2000-02-01	2000-02-03	2000-02-18	Unknown	Regular	Quarter
$0.3550	1999-10-08	1999-10-19	1999-10-21	1999-11-19	Unknown	Regular	Quarter
$0.3500	1999-07-21	1999-07-29	1999-08-02	1999-08-20	Unknown	Regular	Quarter
$0.3450	1999-04-20	1999-04-29	1999-05-03	1999-05-20	Unknown	Regular	Quarter
$0.3400	1999-01-20	1999-02-01	1999-02-03	1999-02-19	Unknown	Regular	Quarter
$0.3350	1998-10-20	1998-10-30	1998-11-03	1998-11-20	Unknown	Regular	Quarter
$0.3300	1998-07-16	1998-07-30	1998-08-03	1998-08-20	Unknown	Regular	Quarter
$0.3250	1998-04-21	1998-04-30	1998-05-04	1998-05-20	Unknown	Regular	Quarter
$0.3200	1998-01-27	1998-02-05	1998-02-09	1998-02-20	Unknown	Regular	Quarter
$0.3150	1997-10-16	1997-10-30	1997-11-03	1997-11-20	Unknown	Regular	Quarter
$0.3100	1997-07-17	1997-07-31	1997-08-04	1997-08-20	Unknown	Regular	Quarter
$0.3050	1997-04-23	1997-04-30	1997-05-02	1997-05-20	Unknown	Regular	Quarter
$0.3000	1997-01-23	1997-01-30	1997-02-03	1997-02-20	Unknown	Regular	Quarter
$0.2950	1996-10-17	1996-10-31	1996-11-04	1996-11-20	Unknown	Regular	Quarter
$0.2900	1996-07-18	1996-07-31	1996-08-02	1996-08-20	Unknown	Regular	Quarter
$0.2850	1996-04-25	1996-05-01	1996-05-03	1996-05-20	Unknown	Regular	Quarter
$0.2800	1996-01-24	1996-02-01	1996-02-05	1996-02-20	Unknown	Regular	Quarter
$0.2750	1995-10-19	1995-11-01	1995-11-03	1995-11-20	Unknown	Regular	Quarter
$0.2700	1995-07-21	1995-08-01	1995-08-03	1995-08-18	Unknown	Regular	Quarter
$0.2650	1995-04-21	1995-04-27	1995-05-03	1995-05-19	Unknown	Regular	Quarter
$0.2600	1995-01-13	1995-01-17	1995-01-23	1995-02-20	Unknown	Regular	Quarter
$0.2550	1994-10-25	1994-11-02	1994-11-08	1994-11-18	Unknown	Regular	Quarter
$0.2500	1994-07-21	1994-07-28	1994-08-03	1994-08-19	Unknown	Regular	Quarter
$0.2450	1994-04-21	1994-04-28	1994-05-03	1994-05-20	Unknown	Regular	Quarter
$0.2400	1994-01-19	1994-01-28	1994-02-03	1994-02-18	Unknown	Regular	Quarter
$0.2363	1993-10-14	1993-10-28	1993-11-03	1993-11-19	Unknown	Regular	Quarter
$0.2325	1993-07-22	1993-07-28	1993-08-03	1993-08-20	Unknown	Regular	Quarter
$0.2288	1993-04-15	1993-04-27	1993-05-03	1993-05-20	Unknown	Regular	Quarter
$0.2250	1993-01-18	1993-01-28	1993-02-03	1993-02-19	Unknown	Regular	Quarter
