Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.3300	2015-07-16	2015-09-11	2015-09-15	2015-10-01	Yes	Regular	Quarter
$0.3300	2015-04-30	2015-06-11	2015-06-15	2015-07-01	Yes	Regular	Quarter
$0.3300	2015-02-19	2015-03-12	2015-03-16	2015-04-01	Yes	Regular	Quarter
$0.3050	2014-10-16	2014-11-26	2014-12-01	2014-12-15	Yes	Regular	Quarter
$0.3050	2014-07-15	2014-09-11	2014-09-15	2014-10-01	Yes	Regular	Quarter
$0.3050	2014-04-24	2014-06-12	2014-06-16	2014-07-01	Yes	Regular	Quarter
$0.3050	2014-02-20	2014-03-12	2014-03-14	2014-04-01	Yes	Regular	Quarter
$0.2800	2013-10-17	2013-11-27	2013-12-02	2013-12-16	Yes	Regular	Quarter
$0.2800	2013-07-18	2013-09-12	2013-09-16	2013-10-01	Yes	Regular	Quarter
$0.2800	2013-04-25	2013-06-12	2013-06-14	2013-07-01	Yes	Regular	Quarter
$0.2800	2013-02-21	2013-03-13	2013-03-15	2013-04-01	Yes	Regular	Quarter
$0.2550	2012-10-18	2012-11-28	2012-11-30	2012-12-17	Yes	Regular	Quarter
$0.2550	2012-07-30	2012-09-12	2012-09-14	2012-10-01	Yes	Regular	Quarter
2-for-1	2012-04-25	2012-08-13	2012-07-27	2012-08-10	NM	Stock Split	NM
$0.2550	2012-04-26	2012-06-13	2012-06-15	2012-07-01	Yes	Regular	Quarter
$0.2550	2012-02-16	2012-03-13	2012-03-15	2012-04-01	Yes	Regular	Quarter
$0.2350	2011-10-20	2011-11-29	2011-12-01	2011-12-15	Yes	Regular	Quarter
$0.2350	2011-07-21	2011-09-13	2011-09-15	2011-10-01	Yes	Regular	Quarter
$0.2350	2011-04-28	2011-06-13	2011-06-15	2011-07-01	Yes	Regular	Quarter
$0.2350	2011-02-17	2011-03-11	2011-03-15	2011-04-01	Yes	Regular	Quarter
$0.2200	2010-10-21	2010-11-29	2010-12-01	2010-12-15	Yes	Regular	Quarter
$0.2200	2010-07-22	2010-09-13	2010-09-15	2010-10-01	Yes	Regular	Quarter
$0.2200	2010-04-22	2010-06-11	2010-06-15	2010-07-01	Yes	Regular	Quarter
$0.2200	2010-02-18	2010-03-11	2010-03-15	2010-04-01	Yes	Regular	Quarter
$0.2050	2009-10-22	2009-11-27	2009-12-01	2009-12-15	Yes	Regular	Quarter
$0.2050	2009-07-23	2009-09-11	2009-09-15	2009-10-01	Yes	Regular	Quarter
$0.2050	2009-04-23	2009-06-11	2009-06-15	2009-07-01	Yes	Regular	Quarter
$0.2050	2009-02-19	2009-03-11	2009-03-15	2009-04-01	Yes	Regular	Quarter
$0.1900	2008-10-16	2008-11-26	2008-12-01	2008-12-15	Yes	Regular	Quarter
$0.1900	2008-07-17	2008-09-11	2008-09-15	2008-10-01	Yes	Regular	Quarter
$0.1900	2008-04-17	2008-06-11	2008-06-15	2008-07-01	Yes	Regular	Quarter
$0.1900	2008-02-21	2008-03-12	2008-03-15	2008-04-01	Yes	Regular	Quarter
$0.1700	2007-10-18	2007-11-28	2007-12-01	2007-12-15	Yes	Regular	Quarter
$0.1700	2007-07-19	2007-09-12	2007-09-15	2007-10-01	Yes	Regular	Quarter
$0.1700	2007-04-19	2007-06-13	2007-06-15	2007-07-01	Yes	Regular	Quarter
$0.1700	2007-02-15	2007-03-13	2007-03-15	2007-04-01	Yes	Regular	Quarter
$0.1550	2006-10-19	2006-11-29	2006-12-01	2006-12-15	Yes	Regular	Quarter
$0.1550	2006-07-20	2006-09-13	2006-09-15	2006-10-01	Yes	Regular	Quarter
$0.1550	2006-04-20	2006-06-13	2006-06-15	2006-07-01	Yes	Regular	Quarter
$0.1550	2006-02-16	2006-03-13	2006-03-15	2006-04-01	Yes	Regular	Quarter
$0.1400	2005-10-20	2005-11-29	2005-12-01	2005-12-15	Yes	Regular	Quarter
$0.1400	2005-07-21	2005-09-13	2005-09-15	2005-10-01	Yes	Regular	Quarter
$0.1400	2005-04-20	2005-06-13	2005-06-15	2005-07-01	Yes	Regular	Quarter
$0.1400	2005-02-17	2005-03-11	2005-03-15	2005-04-01	Yes	Regular	Quarter
$0.1250	2004-10-21	2004-11-29	2004-12-01	2004-12-15	Yes	Regular	Quarter
$0.1250	2004-07-22	2004-09-13	2004-09-15	2004-10-01	Yes	Regular	Quarter
$0.1250	2004-04-21	2004-06-14	2004-06-15	2004-07-01	Yes	Regular	Quarter
$0.1250	2004-02-19	2004-03-11	2004-03-15	2004-04-01	Yes	Regular	Quarter
$0.1100	2003-10-16	2003-11-26	2003-12-01	2003-12-15	Yes	Regular	Quarter
