Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$1.1100	2015-07-30	2015-08-11	2015-08-13	2015-08-18	Unknown	Regular	Quarter
$1.0700	2015-05-04	2015-05-12	2015-05-14	2015-05-19	Non-Qualified	Regular	Quarter
$1.0200	2015-02-17	2015-02-26	2015-03-02	2015-03-05	Non-Qualified	Regular	Quarter
$0.9800	2014-10-29	2014-11-06	2014-11-10	2014-11-13	Non-Qualified	Regular	Quarter
$0.9500	2014-07-07	2014-08-07	2014-08-11	2014-08-14	Non-Qualified	Regular	Quarter
$0.9375	2014-04-30	2014-05-08	2014-05-12	2014-05-15	Non-Qualified	Regular	Quarter
$0.9125	2014-02-18	2014-02-27	2014-03-03	2014-03-06	Non-Qualified	Regular	Quarter
$0.8750	2013-10-28	2013-11-06	2013-11-11	2013-11-14	Non-Qualified	Regular	Quarter
$0.8750	2013-07-31	2013-08-08	2013-08-12	2013-08-15	Non-Qualified	Regular	Quarter
$0.6875	2013-04-29	2013-05-09	2013-05-13	2013-05-16	Non-Qualified	Regular	Quarter
$0.6875	2012-12-12	2012-12-20	2012-12-24	2012-12-28	Non-Qualified	Regular	Quarter
$0.6875	2012-10-31	2012-11-07	2012-11-12	2012-11-15	Non-Qualified	Regular	Quarter
$0.6250	2012-08-01	2012-08-09	2012-08-13	2012-08-16	Non-Qualified	Regular	Quarter
$0.2000	2012-05-02	2012-05-10	2012-05-14	2012-05-17	Non-Qualified	Regular	Quarter
$0.2000	2012-02-22	2012-03-01	2012-03-05	2012-03-08	Non-Qualified	Regular	Quarter
$0.2000	2011-11-02	2011-11-09	2011-11-14	2011-11-17	Non-Qualified	Regular	Quarter
$0.2000	2011-08-03	2011-08-11	2011-08-15	2011-08-18	Non-Qualified	Regular	Quarter
$0.2000	2011-05-04	2011-05-09	2011-05-11	2011-05-18	Non-Qualified	Regular	Quarter
$0.2000	2008-11-07	2008-12-01	2008-12-03	2008-12-10	Non-Qualified	Regular	Quarter
$0.6450	2008-08-07	2008-09-02	2008-09-04	2008-09-11	Non-Qualified	Regular	Quarter
$0.6450	2008-05-08	2008-06-02	2008-06-04	2008-06-10	Non-Qualified	Regular	Quarter
$0.6350	2008-02-28	2008-03-03	2008-03-05	2008-03-10	Non-Qualified	Regular	Quarter
$0.6200	2007-11-07	2007-12-03	2007-12-05	2007-12-10	Non-Qualified	Regular	Quarter
$0.6050	2007-08-09	2007-09-04	2007-09-06	2007-09-11	Non-Qualified	Regular	Quarter
$0.5900	2007-05-08	2007-06-01	2007-06-05	2007-06-08	Yes	Regular	Quarter
$0.5700	2007-03-01	2007-04-02	2007-04-04	2007-04-09	Yes	Regular	Quarter
$0.5500	2006-11-09	2006-12-01	2006-12-05	2006-12-08	Unknown	Regular	Quarter
$0.5250	2006-08-09	2006-09-01	2006-09-06	2006-09-11	Unknown	Regular	Quarter
$0.5000	2006-05-10	2006-06-01	2006-06-05	2006-06-09	Unknown	Regular	Quarter
$0.5000	2006-03-15	2006-04-03	2006-04-05	2006-04-10	Unknown	Regular	Quarter
$0.5000	2005-11-14	2005-12-02	2005-12-06	2005-12-09	Unknown	Regular	Quarter
$0.5000	2005-08-10	2005-09-01	2005-09-06	2005-09-09	Unknown	Regular	Quarter
$0.0877	2005-05-16	2005-05-31	2005-06-02	2005-06-07	Unknown	Regular	Quarter
$0.5000	2005-05-16	2005-05-31	2005-06-02	2005-06-07	Unknown	Regular	Quarter
$0.0795	2002-01-18	2002-01-30	2002-02-01	2002-02-27	Unknown	Regular	Month
$0.0685	2002-01-03	2002-01-11	2002-01-15	2002-01-23	Unknown	Regular	Month
$0.0692	2001-12-06	2001-12-18	2001-12-20	2001-12-28	Unknown	Regular	Month
$0.0066	2001-12-06	2001-12-18	2001-12-20	2001-12-28	Unknown	Regular	Month
$0.0690	2001-11-08	2001-11-16	2001-11-20	2001-11-29	Unknown	Regular	Month
$0.0697	2001-10-04	2001-10-12	2001-10-16	2001-10-30	Unknown	Regular	Month
$0.0689	2001-09-06	2001-09-17	2001-09-18	2001-09-27	Unknown	Regular	Month
$0.0688	2001-08-08	2001-08-16	2001-08-20	2001-08-30	Unknown	Regular	Month
$0.0658	2001-07-05	2001-07-13	2001-07-17	2001-07-30	Unknown	Regular	Month
$0.0595	2001-06-07	2001-06-15	2001-06-19	2001-06-28	Unknown	Regular	Month
$0.0589	2001-05-08	2001-05-14	2001-05-16	2001-05-30	Unknown	Regular	Month
$0.0618	2001-04-05	2001-04-11	2001-04-16	2001-04-27	Unknown	Regular	Month
$0.0632	2001-03-07	2001-03-15	2001-03-19	2001-03-29	Unknown	Regular	Month
$0.0611	2001-02-07	2001-02-14	2001-02-16	2001-02-27	Unknown	Regular	Month
$0.0595	2001-01-04	2001-01-11	2001-01-16	2001-01-30	Unknown	Regular	Month
$0.0637	2000-12-07	2000-12-18	2000-12-20	2000-12-28	Unknown	Regular	Month
$0.0637	2000-11-08	2000-11-16	2000-11-20	2000-11-29	Unknown	Regular	Month
$0.0637	2000-10-06	2000-10-13	2000-10-17	2000-10-30	Unknown	Regular	Month
$0.0637	2000-09-07	2000-09-14	2000-09-18	2000-09-28	Unknown	Regular	Month
$0.0637	2000-08-08	2000-08-16	2000-08-18	2000-08-30	Unknown	Regular	Month
$0.0654	2000-07-06	2000-07-13	2000-07-17	2000-07-28	Unknown	Regular	Month
$0.0654	2000-06-07	2000-06-15	2000-06-19	2000-06-29	Unknown	Regular	Month
$0.0654	2000-05-05	2000-05-12	2000-05-16	2000-05-30	Unknown	Regular	Month
$0.0654	2000-04-07	2000-04-13	2000-04-17	2000-04-27	Unknown	Regular	Month
$0.0654	2000-03-07	2000-03-15	2000-03-17	2000-03-30	Unknown	Regular	Month
$0.0654	2000-02-07	2000-02-15	2000-02-17	2000-02-28	Unknown	Regular	Month
$0.0650	2000-01-06	2000-01-13	2000-01-18	2000-01-28	Unknown	Regular	Month
$0.0650	1999-12-08	1999-12-21	1999-12-23	1999-12-30	Unknown	Regular	Month
$0.0690	1999-11-08	1999-11-18	1999-11-22	1999-11-29	Unknown	Regular	Month
$0.0690	1999-10-07	1999-10-20	1999-10-22	1999-10-28	Unknown	Regular	Month
$0.0691	1999-09-08	1999-09-20	1999-09-22	1999-09-29	Unknown	Regular	Month
$0.0680	1999-08-09	1999-08-19	1999-08-23	1999-08-30	Unknown	Regular	Month
$0.0660	1999-07-08	1999-07-21	1999-07-23	1999-07-29	Unknown	Regular	Month
$0.0661	1999-06-09	1999-06-21	1999-06-23	1999-06-29	Unknown	Regular	Month
$0.0657	1999-05-06	1999-05-19	1999-05-21	1999-05-27	Unknown	Regular	Month
$0.0705	1999-04-08	1999-04-20	1999-04-22	1999-04-29	Unknown	Regular	Month
$0.0671	1999-03-08	1999-03-22	1999-03-24	1999-03-30	Unknown	Regular	Month
$0.0734	1999-02-04	1999-02-17	1999-02-19	1999-02-25	Unknown	Regular	Month
$0.0767	1999-01-07	1999-01-20	1999-01-22	1999-01-28	Unknown	Regular	Month
$0.0743	1998-12-07	1998-12-21	1998-12-23	1998-12-30	Unknown	Regular	Month
$0.4186	1998-12-07	1998-12-21	1998-12-23	1998-12-30	Unknown	Regular	Month
$0.1779	1998-12-07	1998-12-21	1998-12-23	1998-12-30	Unknown	Regular	Month
$0.0745	1998-11-05	1998-11-18	1998-11-20	1998-11-27	Unknown	Regular	Month
$0.0672	1998-10-08	1998-10-20	1998-10-22	1998-10-29	Unknown	Regular	Month
$0.0693	1998-09-09	1998-09-18	1998-09-22	1998-09-29	Unknown	Regular	Month
$0.0699	1998-08-06	1998-08-19	1998-08-21	1998-08-28	Unknown	Regular	Month
$0.0665	1998-07-09	1998-07-21	1998-07-23	1998-07-30	Unknown	Regular	Month
$0.0676	1998-06-08	1998-06-18	1998-06-22	1998-06-29	Unknown	Regular	Month
$0.0658	1998-05-07	1998-05-19	1998-05-21	1998-05-28	Unknown	Regular	Month
$0.0695	1998-04-09	1998-04-20	1998-04-22	1998-04-29	Unknown	Regular	Month
$0.0633	1998-03-09	1998-03-19	1998-03-23	1998-03-30	Unknown	Regular	Month
$0.0704	1998-02-05	1998-02-17	1998-02-19	1998-02-26	Unknown	Regular	Month
