Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.4500	2015-05-14	2015-05-21	2015-05-26	2015-07-24	Non-Qualified	Regular	Quarter
$0.3800	2015-03-16	2015-03-24	2015-03-26	2015-04-30	Non-Qualified	Regular	Quarter
$0.3800	2014-12-18	2014-12-26	2014-12-30	2015-01-30	Non-Qualified	Regular	Quarter
$0.1750	2014-09-19	2014-09-25	2014-09-29	2014-10-31	Non-Qualified	Regular	Quarter
1-for-2		2014-10-17			NM	Stock Split	NM
$0.3500	2014-06-17	2014-06-25	2014-06-27	2014-07-31	Non-Qualified	Regular	Quarter
$0.1500	2014-06-17	2014-06-25	2014-06-27	2014-07-31	Non-Qualified	Special	N/A
$0.3500	2014-03-19	2014-03-27	2014-03-31	2014-04-30	Non-Qualified	Regular	Quarter
$0.1500	2013-12-18	2013-12-26	2013-12-30	2014-01-31	Non-Qualified	Special	N/A
$0.3500	2013-12-18	2013-12-26	2013-12-30	2014-01-31	Non-Qualified	Regular	Quarter
$0.3500	2013-09-18	2013-09-25	2013-09-27	2013-10-31	Non-Qualified	Regular	Quarter
$0.1400	2013-06-03	2013-06-11	2013-06-13	2013-07-31	Non-Qualified	Regular	Quarter
