Payout Amount	Declared Date	Ex-Dividend Date	Record Date	Pay Date ▼	Qualified Dividend?	Payout Type	Frequency
$0.5500	2015-07-30	2015-08-27	2015-08-31	2015-09-30	Yes	Regular	Quarter
$0.5500	2015-05-14	2015-05-27	2015-05-29	2015-06-30	Yes	Regular	Quarter
$0.5500	2015-02-05	2015-02-25	2015-02-27	2015-03-30	Yes	Regular	Quarter
$0.5000	2014-11-20	2014-11-28	2014-12-02	2015-01-02	Yes	Regular	Quarter
$0.5000	2014-07-31	2014-08-27	2014-08-29	2014-10-01	Yes	Regular	Quarter
$0.4550	2014-05-15	2014-06-12	2014-06-16	2014-07-01	Yes	Regular	Quarter
2-for-1	2014-05-15	2014-06-09	2014-05-27	2014-06-06	NM	Stock Split	NM
$0.4550	2014-02-06	2014-02-26	2014-02-28	2014-04-01	Yes	Regular	Quarter
$0.3950	2013-11-21	2013-11-29	2013-12-03	2014-01-02	Yes	Regular	Quarter
$0.3950	2013-08-01	2013-08-28	2013-08-30	2013-10-01	Yes	Regular	Quarter
$0.3450	2013-05-16	2013-05-29	2013-05-31	2013-07-01	Unknown	Regular	Quarter
$0.3450	2013-02-07	2013-02-26	2013-02-28	2013-04-01	Yes	Regular	Quarter
$0.3450	2012-11-15	2012-11-28	2012-11-30	2013-01-02	Yes	Regular	Quarter
$0.3000	2012-07-26	2012-08-29	2012-08-31	2012-10-01	Yes	Regular	Quarter
$0.3000	2012-05-10	2012-05-29	2012-05-31	2012-07-02	Yes	Regular	Quarter
$0.3000	2012-02-02	2012-02-27	2012-02-29	2012-04-02	Yes	Regular	Quarter
$0.3000	2011-11-17	2011-11-28	2011-11-30	2012-01-02	Yes	Regular	Quarter
$0.2375	2011-07-28	2011-08-29	2011-08-31	2011-10-03	Yes	Regular	Quarter
$0.2375	2011-05-05	2011-05-26	2011-05-31	2011-07-01	Yes	Regular	Quarter
$0.1900	2011-02-03	2011-02-24	2011-02-28	2011-04-01	Yes	Regular	Quarter
$0.1900	2010-11-18	2010-11-26	2010-11-30	2011-01-03	Yes	Regular	Quarter
$0.1650	2010-07-29	2010-08-27	2010-08-31	2010-10-01	Yes	Regular	Quarter
$0.1650	2010-05-06	2010-05-26	2010-05-28	2010-07-01	Yes	Regular	Quarter
$0.1350	2010-02-04	2010-02-24	2010-02-26	2010-04-01	Yes	Regular	Quarter
$0.1350	2009-11-19	2009-11-25	2009-11-30	2010-01-04	Yes	Regular	Quarter
$0.1350	2009-07-30	2009-08-27	2009-08-31	2009-10-01	Yes	Regular	Quarter
$0.1350	2009-05-14	2009-05-27	2009-05-29	2009-07-01	Yes	Regular	Quarter
$0.1350	2009-02-05	2009-02-25	2009-02-27	2009-04-01	Yes	Regular	Quarter
$0.1350	2008-11-20	2008-11-26	2008-12-01	2009-01-02	Yes	Regular	Quarter
$0.1350	2008-07-31	2008-08-27	2008-08-29	2008-10-01	Yes	Regular	Quarter
$0.0550	2008-05-01	2008-06-04	2008-06-06	2008-07-01	Yes	Regular	Quarter
2-for-1	2008-05-01	2008-05-29	2008-05-12	2008-05-28	NM	Stock Split	NM
$0.1100	2008-02-28	2008-03-10	2008-03-12	2008-04-01	Yes	Regular	Quarter
$0.1100	2007-11-15	2007-11-27	2007-11-29	2008-01-02	Yes	Regular	Quarter
$0.0875	2007-07-26	2007-08-28	2007-08-30	2007-10-01	Yes	Regular	Quarter
$0.0875	2007-05-03	2007-05-25	2007-05-30	2007-07-02	Yes	Regular	Quarter
$0.0875	2007-01-30	2007-02-26	2007-02-28	2007-04-02	Yes	Regular	Quarter
$0.0750	2006-11-16	2006-11-28	2006-11-30	2007-01-02	Yes	Regular	Quarter
$0.0750	2006-07-27	2006-08-29	2006-08-31	2006-10-02	Yes	Regular	Quarter
$0.0750	2006-05-04	2006-05-26	2006-05-31	2006-07-03	Yes	Regular	Quarter
$0.0750	2006-02-23	2006-03-06	2006-03-08	2006-04-03	Yes	Regular	Quarter
$0.0750	2005-11-17	2005-12-12	2005-12-14	2006-01-02	Yes	Regular	Quarter
$0.0750	2005-07-28	2005-09-12	2005-09-14	2005-10-03	Yes	Regular	Quarter
$0.0750	2005-05-05	2005-06-06	2005-06-08	2005-07-01	Yes	Regular	Quarter
$0.0750	2005-02-24	2005-03-07	2005-03-09	2005-04-01	Yes	Regular	Quarter
$0.0750	2004-11-18	2004-12-06	2004-12-08	2005-01-03	Yes	Regular	Quarter
$0.0750	2004-07-29	2004-09-03	2004-09-08	2004-10-01	Yes	Regular	Quarter
$0.0750	2004-05-28	2004-06-07	2004-06-09	2004-07-01	Yes	Regular	Quarter
$0.0750	2004-02-26	2004-03-08	2004-03-10	2004-04-01	Yes	Regular	Quarter
$0.0750	2003-11-19	2003-12-08	2003-12-10	2004-01-02	Yes	Regular	Quarter
$0.0575	2003-07-31	2003-09-08	2003-09-10	2003-10-01	Yes	Regular	Quarter
$0.0575	2003-05-30	2003-06-09	2003-06-11	2003-07-01	Yes	Regular	Quarter
$0.0575	2003-02-27	2003-03-10	2003-03-12	2003-04-01	Yes	Regular	Quarter
$0.0575	2002-11-21	2002-12-09	2002-12-11	2003-01-02	Yes	Regular	Quarter
$0.0500	2002-07-25	2002-09-09	2002-09-11	2002-10-01	Unknown	Regular	Quarter
$0.0500	2002-05-30	2002-06-10	2002-06-12	2002-07-01	Unknown	Regular	Quarter
$0.0500	2002-02-25	2002-03-11	2002-03-13	2002-04-01	Unknown	Regular	Quarter
$0.0500	2001-11-15	2001-12-10	2001-12-12	2002-01-02	Unknown	Regular	Quarter
$0.0500	2001-07-26	2001-09-10	2001-09-12	2001-10-01	Unknown	Regular	Quarter
$0.0500	2001-06-01	2001-06-11	2001-06-13	2001-07-02	Unknown	Regular	Quarter
$0.0500	2001-02-22	2001-03-12	2001-03-14	2001-04-02	Unknown	Regular	Quarter
